"","toa","thr","diffnet_new$toa"
"100307129","Non-Adopters","Non-Adopters",NA
"100310238","Non-Adopters","Non-Adopters",NA
"100310288","Non-Adopters","Non-Adopters",NA
"100310358","Non-Adopters","Non-Adopters",NA
"100310509","Non-Adopters","Non-Adopters",NA
"100310973","Non-Adopters","Non-Adopters",NA
"100310997","Early Majority","Low Thresh.",2005
"100311508","Non-Adopters","Non-Adopters",NA
"100311856","Non-Adopters","Non-Adopters",NA
"100312675","Non-Adopters","Non-Adopters",NA
"100312932","Non-Adopters","Non-Adopters",NA
"100313292","Non-Adopters","Non-Adopters",NA
"100313462","Non-Adopters","Non-Adopters",NA
"100313881","Non-Adopters","Non-Adopters",NA
"100313991","Non-Adopters","Non-Adopters",NA
"100314325","Non-Adopters","Non-Adopters",NA
"100314434","Early Adopters","High Thresh.",2003
"100314585","Non-Adopters","Non-Adopters",NA
"100315563","Non-Adopters","Non-Adopters",NA
"100315608","Non-Adopters","Non-Adopters",NA
"100316070","Non-Adopters","Non-Adopters",NA
"100316592","Non-Adopters","Non-Adopters",NA
"100316758","Non-Adopters","Non-Adopters",NA
"100317123","Non-Adopters","Non-Adopters",NA
"100317317","Laggards","High Thresh.",2016
"100317345","Non-Adopters","Non-Adopters",NA
"100317652","Non-Adopters","Non-Adopters",NA
"100318441","Non-Adopters","Non-Adopters",NA
"100318468","Early Adopters","Very Low Thresh.",2003
"100318852","Non-Adopters","Non-Adopters",NA
"100318963","Non-Adopters","Non-Adopters",NA
"100319190","Non-Adopters","Non-Adopters",NA
"100319261","Early Majority","High Thresh.",2005
"100319485","Non-Adopters","Non-Adopters",NA
"100319831","Non-Adopters","Non-Adopters",NA
"100320040","Non-Adopters","Non-Adopters",NA
"100320161","Non-Adopters","Non-Adopters",NA
"100320173","Non-Adopters","Non-Adopters",NA
"100320449","Non-Adopters","Non-Adopters",NA
"100321861","Non-Adopters","Non-Adopters",NA
"100322269","Non-Adopters","Non-Adopters",NA
"100322378","Laggards","Low Thresh.",2017
"100323118","Non-Adopters","Non-Adopters",NA
"100323497","Non-Adopters","Non-Adopters",NA
"100323675","Laggards","High Thresh.",2017
"100324380","Non-Adopters","Non-Adopters",NA
"100324620","Non-Adopters","Non-Adopters",NA
"100324794","Early Majority","Low Thresh.",2006
"100325403","Non-Adopters","Non-Adopters",NA
"100325897","Non-Adopters","Non-Adopters",NA
"100325912","Non-Adopters","Non-Adopters",NA
"100326311","Late Majority","High Thresh.",2012
"100326424","Early Majority","Low Thresh.",2009
"100326616","Non-Adopters","Non-Adopters",NA
"100326688","Non-Adopters","Non-Adopters",NA
"100327095","Non-Adopters","Non-Adopters",NA
"100327536","Non-Adopters","Non-Adopters",NA
"100327750","Non-Adopters","Non-Adopters",NA
"100328199","Non-Adopters","Non-Adopters",NA
"100328212","Early Adopters","High Thresh.",2003
"100328687","Non-Adopters","Non-Adopters",NA
"100328958","Non-Adopters","Non-Adopters",NA
"100329449","Late Majority","High Thresh.",2012
"100329824","Late Majority","High Thresh.",2015
"100330039","Early Adopters","Low Thresh.",2002
"100330248","Non-Adopters","Non-Adopters",NA
"100330768","Non-Adopters","Non-Adopters",NA
"100331417","Non-Adopters","Non-Adopters",NA
"100331481","Late Majority","High Thresh.",2013
"100331946","Early Adopters","Low Thresh.",2004
"100331998","Early Adopters","High Thresh.",2002
"100332194","Non-Adopters","Non-Adopters",NA
"100332362","Non-Adopters","Non-Adopters",NA
"100332604","Non-Adopters","Non-Adopters",NA
"100332640","Non-Adopters","Non-Adopters",NA
"100333513","Early Adopters","High Thresh.",2004
"100333997","Early Adopters","High Thresh.",2003
"100334094","Non-Adopters","Non-Adopters",NA
"100334202","Non-Adopters","Non-Adopters",NA
"100334581","Non-Adopters","Non-Adopters",NA
"100336660","Early Majority","High Thresh.",2005
"100336685","Early Majority","Low Thresh.",2005
