"","toa","thr"
"1","Non-Adopters","Non-Adopters"
"2","Non-Adopters","Non-Adopters"
"3","Non-Adopters","Non-Adopters"
"4","Non-Adopters","Non-Adopters"
"5","Non-Adopters","Non-Adopters"
"6","Non-Adopters","Non-Adopters"
"7","Early Majority","Low Thresh."
"8","Non-Adopters","Non-Adopters"
"9","Non-Adopters","Non-Adopters"
"10","Non-Adopters","Non-Adopters"
"11","Non-Adopters","Non-Adopters"
"12","Non-Adopters","Non-Adopters"
"13","Non-Adopters","Non-Adopters"
"14","Non-Adopters","Non-Adopters"
"15","Non-Adopters","Non-Adopters"
"16","Non-Adopters","Non-Adopters"
"17","Early Adopters","High Thresh."
"18","Non-Adopters","Non-Adopters"
"19","Non-Adopters","Non-Adopters"
"20","Non-Adopters","Non-Adopters"
"21","Non-Adopters","Non-Adopters"
"22","Non-Adopters","Non-Adopters"
"23","Non-Adopters","Non-Adopters"
"24","Non-Adopters","Non-Adopters"
"25","Laggards","High Thresh."
"26","Non-Adopters","Non-Adopters"
"27","Non-Adopters","Non-Adopters"
"28","Non-Adopters","Non-Adopters"
"29","Early Adopters","Very Low Thresh."
"30","Non-Adopters","Non-Adopters"
"31","Non-Adopters","Non-Adopters"
"32","Non-Adopters","Non-Adopters"
"33","Early Majority","High Thresh."
"34","Non-Adopters","Non-Adopters"
"35","Non-Adopters","Non-Adopters"
"36","Non-Adopters","Non-Adopters"
"37","Non-Adopters","Non-Adopters"
"38","Non-Adopters","Non-Adopters"
"39","Non-Adopters","Non-Adopters"
"40","Non-Adopters","Non-Adopters"
"41","Non-Adopters","Non-Adopters"
"42","Laggards","Low Thresh."
"43","Non-Adopters","Non-Adopters"
"44","Non-Adopters","Non-Adopters"
"45","Laggards","High Thresh."
"46","Non-Adopters","Non-Adopters"
"47","Non-Adopters","Non-Adopters"
"48","Early Majority","Low Thresh."
"49","Non-Adopters","Non-Adopters"
"50","Non-Adopters","Non-Adopters"
"51","Non-Adopters","Non-Adopters"
"52","Late Majority","High Thresh."
"53","Early Majority","Low Thresh."
"54","Non-Adopters","Non-Adopters"
"55","Non-Adopters","Non-Adopters"
"56","Non-Adopters","Non-Adopters"
"57","Non-Adopters","Non-Adopters"
"58","Non-Adopters","Non-Adopters"
"59","Non-Adopters","Non-Adopters"
"60","Early Adopters","High Thresh."
"61","Non-Adopters","Non-Adopters"
"62","Non-Adopters","Non-Adopters"
"63","Late Majority","High Thresh."
"64","Late Majority","High Thresh."
"65","Early Adopters","Low Thresh."
"66","Non-Adopters","Non-Adopters"
"67","Non-Adopters","Non-Adopters"
"68","Non-Adopters","Non-Adopters"
"69","Late Majority","High Thresh."
"70","Early Adopters","Low Thresh."
"71","Early Adopters","High Thresh."
"72","Non-Adopters","Non-Adopters"
"73","Non-Adopters","Non-Adopters"
"74","Non-Adopters","Non-Adopters"
"75","Non-Adopters","Non-Adopters"
"76","Early Adopters","High Thresh."
"77","Early Adopters","High Thresh."
"78","Non-Adopters","Non-Adopters"
"79","Non-Adopters","Non-Adopters"
"80","Non-Adopters","Non-Adopters"
"81","Early Majority","High Thresh."
"82","Early Majority","Low Thresh."
"83","Non-Adopters","Non-Adopters"
"84","Late Majority","Very Low Thresh."
"85","Non-Adopters","Non-Adopters"
"86","Non-Adopters","Non-Adopters"
"87","Early Majority","High Thresh."
"88","Non-Adopters","Non-Adopters"
"89","Non-Adopters","Non-Adopters"
"90","Early Majority","High Thresh."
"91","Non-Adopters","Non-Adopters"
"92","Early Majority","High Thresh."
"93","Non-Adopters","Non-Adopters"
"94","Non-Adopters","Non-Adopters"
"95","Non-Adopters","Non-Adopters"
"96","Late Majority","Very Low Thresh."
"97","Non-Adopters","Non-Adopters"
"98","Early Majority","High Thresh."
"99","Early Adopters","High Thresh."
"100","Laggards","High Thresh."
"101","Non-Adopters","Non-Adopters"
"102","Non-Adopters","Non-Adopters"
"103","Late Majority","High Thresh."
"104","Early Majority","High Thresh."
"105","Non-Adopters","Non-Adopters"
"106","Late Majority","High Thresh."
"107","Non-Adopters","Non-Adopters"
"108","Non-Adopters","Non-Adopters"
"109","Non-Adopters","Non-Adopters"
"110","Non-Adopters","Non-Adopters"
"111","Non-Adopters","Non-Adopters"
"112","Non-Adopters","Non-Adopters"
"113","Non-Adopters","Non-Adopters"
"114","Non-Adopters","Non-Adopters"
"115","Non-Adopters","Non-Adopters"
"116","Non-Adopters","Non-Adopters"
"117","Non-Adopters","Non-Adopters"
"118","Non-Adopters","Non-Adopters"
"119","Late Majority","Low Thresh."
"120","Non-Adopters","Non-Adopters"
"121","Non-Adopters","Non-Adopters"
"122","Non-Adopters","Non-Adopters"
"123","Non-Adopters","Non-Adopters"
"124","Non-Adopters","Non-Adopters"
"125","Non-Adopters","Non-Adopters"
"126","Non-Adopters","Non-Adopters"
"127","Non-Adopters","Non-Adopters"
"128","Non-Adopters","Non-Adopters"
"129","Non-Adopters","Non-Adopters"
"130","Non-Adopters","Non-Adopters"
"131","Non-Adopters","Non-Adopters"
"132","Non-Adopters","Non-Adopters"
"133","Non-Adopters","Non-Adopters"
"134","Non-Adopters","Non-Adopters"
"135","Non-Adopters","Non-Adopters"
"136","Early Majority","High Thresh."
"137","Non-Adopters","Non-Adopters"
"138","Non-Adopters","Non-Adopters"
"139","Non-Adopters","Non-Adopters"
"140","Non-Adopters","Non-Adopters"
"141","Non-Adopters","Non-Adopters"
"142","Non-Adopters","Non-Adopters"
"143","Non-Adopters","Non-Adopters"
"144","Non-Adopters","Non-Adopters"
"145","Non-Adopters","Non-Adopters"
"146","Non-Adopters","Non-Adopters"
"147","Non-Adopters","Non-Adopters"
"148","Late Majority","High Thresh."
"149","Non-Adopters","Non-Adopters"
"150","Non-Adopters","Non-Adopters"
"151","Non-Adopters","Non-Adopters"
"152","Late Majority","Low Thresh."
"153","Non-Adopters","Non-Adopters"
"154","Non-Adopters","Non-Adopters"
"155","Non-Adopters","Non-Adopters"
"156","Non-Adopters","Non-Adopters"
"157","Non-Adopters","Non-Adopters"
"158","Non-Adopters","Non-Adopters"
"159","Non-Adopters","Non-Adopters"
"160","Laggards","High Thresh."
"161","Late Majority","High Thresh."
"162","Late Majority","High Thresh."
"163","Non-Adopters","Non-Adopters"
"164","Non-Adopters","Non-Adopters"
"165","Non-Adopters","Non-Adopters"
"166","Non-Adopters","Non-Adopters"
"167","Non-Adopters","Non-Adopters"
"168","Early Majority","High Thresh."
"169","Non-Adopters","Non-Adopters"
"170","Late Majority","Very Low Thresh."
"171","Early Majority","High Thresh."
"172","Early Majority","Low Thresh."
"173","Non-Adopters","Non-Adopters"
"174","Non-Adopters","Non-Adopters"
"175","Non-Adopters","Non-Adopters"
"176","Non-Adopters","Non-Adopters"
"177","Non-Adopters","Non-Adopters"
"178","Non-Adopters","Non-Adopters"
"179","Non-Adopters","Non-Adopters"
"180","Non-Adopters","Non-Adopters"
"181","Non-Adopters","Non-Adopters"
"182","Non-Adopters","Non-Adopters"
"183","Non-Adopters","Non-Adopters"
"184","Early Majority","High Thresh."
"185","Non-Adopters","Non-Adopters"
"186","Non-Adopters","Non-Adopters"
"187","Non-Adopters","Non-Adopters"
"188","Late Majority","High Thresh."
"189","Early Adopters","High Thresh."
"190","Early Majority","High Thresh."
"191","Non-Adopters","Non-Adopters"
"192","Early Majority","High Thresh."
"193","Non-Adopters","Non-Adopters"
"194","Non-Adopters","Non-Adopters"
"195","Non-Adopters","Non-Adopters"
"196","Laggards","High Thresh."
"197","Non-Adopters","Non-Adopters"
"198","Late Majority","High Thresh."
"199","Non-Adopters","Non-Adopters"
"200","Non-Adopters","Non-Adopters"
"201","Early Adopters","High Thresh."
"202","Late Majority","High Thresh."
"203","Non-Adopters","Non-Adopters"
"204","Non-Adopters","Non-Adopters"
"205","Non-Adopters","Non-Adopters"
"206","Non-Adopters","Non-Adopters"
"207","Non-Adopters","Non-Adopters"
"208","Non-Adopters","Non-Adopters"
"209","Non-Adopters","Non-Adopters"
"210","Laggards","Low Thresh."
"211","Non-Adopters","Non-Adopters"
"212","Non-Adopters","Non-Adopters"
"213","Non-Adopters","Non-Adopters"
"214","Late Majority","High Thresh."
"215","Non-Adopters","Non-Adopters"
"216","Non-Adopters","Non-Adopters"
"217","Non-Adopters","Non-Adopters"
"218","Non-Adopters","Non-Adopters"
"219","Non-Adopters","Non-Adopters"
"220","Non-Adopters","Non-Adopters"
"221","Non-Adopters","Non-Adopters"
"222","Non-Adopters","Non-Adopters"
"223","Non-Adopters","Non-Adopters"
"224","Non-Adopters","Non-Adopters"
"225","Non-Adopters","Non-Adopters"
"226","Non-Adopters","Non-Adopters"
"227","Non-Adopters","Non-Adopters"
"228","Non-Adopters","Non-Adopters"
"229","Non-Adopters","Non-Adopters"
"230","Early Majority","High Thresh."
"231","Non-Adopters","Non-Adopters"
"232","Non-Adopters","Non-Adopters"
"233","Non-Adopters","Non-Adopters"
"234","Early Adopters","Very Low Thresh."
"235","Non-Adopters","Non-Adopters"
"236","Non-Adopters","Non-Adopters"
"237","Non-Adopters","Non-Adopters"
"238","Non-Adopters","Non-Adopters"
"239","Early Adopters","High Thresh."
"240","Non-Adopters","Non-Adopters"
"241","Late Majority","High Thresh."
"242","Non-Adopters","Non-Adopters"
"243","Early Adopters","Very Low Thresh."
"244","Non-Adopters","Non-Adopters"
"245","Non-Adopters","Non-Adopters"
"246","Non-Adopters","Non-Adopters"
"247","Early Majority","High Thresh."
"248","Non-Adopters","Non-Adopters"
"249","Non-Adopters","Non-Adopters"
"250","Non-Adopters","Non-Adopters"
"251","Non-Adopters","Non-Adopters"
"252","Non-Adopters","Non-Adopters"
"253","Early Majority","Very Low Thresh."
"254","Non-Adopters","Non-Adopters"
"255","Non-Adopters","Non-Adopters"
"256","Non-Adopters","Non-Adopters"
"257","Non-Adopters","Non-Adopters"
"258","Non-Adopters","Non-Adopters"
"259","Non-Adopters","Non-Adopters"
"260","Early Majority","High Thresh."
"261","Non-Adopters","Non-Adopters"
