afid,adoption_class,threshold,toa,region
100310997,Early Majority,Low Thresh.,2005,ASOC(core)
100314434,Early Adopters,High Thresh.,2003,North America
100317317,Laggards,High Thresh.,2016,EU_COST(core)
100318468,Early Adopters,Very Low Thresh.,2003,ASOC(periphery)
100319261,Early Majority,High Thresh.,2005,EU_COST(core)
100322378,Laggards,Low Thresh.,2017,EU_COST(periphery)
100323675,Laggards,High Thresh.,2017,North America
100324794,Early Majority,Low Thresh.,2006,EU_COST(periphery)
100326311,Late Majority,High Thresh.,2012,ASOC(core)
100326424,Early Majority,Low Thresh.,2009,ASOC(core)
100328212,Early Adopters,High Thresh.,2003,EU_COST(core)
100329449,Late Majority,High Thresh.,2012,ASOC(periphery)
100329824,Late Majority,High Thresh.,2015,EU_COST(core)
100330039,Early Adopters,Low Thresh.,2002,North America
100331481,Late Majority,High Thresh.,2013,EU_COST(core)
100331946,Early Adopters,Low Thresh.,2004,North America
100331998,Early Adopters,High Thresh.,2002,ASOC(periphery)
100333513,Early Adopters,High Thresh.,2004,EU_COST(core)
100333997,Early Adopters,High Thresh.,2003,North America
100336660,Early Majority,High Thresh.,2005,North America
100336685,Early Majority,Low Thresh.,2005,North America
100337173,Late Majority,Very Low Thresh.,2014,North America
100337568,Early Majority,High Thresh.,2009,ASOC(core)
100338748,Early Majority,High Thresh.,2007,EU_COST(periphery)
100339938,Early Majority,High Thresh.,2009,EU_COST(core)
100340874,Late Majority,Very Low Thresh.,2015,ASOC(periphery)
100341274,Early Majority,High Thresh.,2006,EU_COST(core)
100341569,Early Adopters,High Thresh.,2004,North America
100342151,Laggards,High Thresh.,2016,North America
100343294,Late Majority,High Thresh.,2013,ASOC(periphery)
100343596,Early Majority,High Thresh.,2008,EU_COST(core)
100343875,Late Majority,High Thresh.,2015,North America
100350599,Late Majority,Low Thresh.,2012,ASOC(core)
100358996,Early Majority,High Thresh.,2006,North America
100362433,Late Majority,High Thresh.,2011,EU_COST(periphery)
100364009,Late Majority,Low Thresh.,2013,ASOC(periphery)
100368611,Laggards,High Thresh.,2017,North America
100369242,Late Majority,High Thresh.,2013,ASOC(core)
100370048,Late Majority,High Thresh.,2012,EU_COST(core)
100372383,Early Majority,High Thresh.,2007,LAZEN
100372538,Late Majority,Very Low Thresh.,2013,North America
100372958,Early Majority,High Thresh.,2008,ASOC(core)
100373345,Early Majority,Low Thresh.,2006,EU_COST(core)
100380370,Early Majority,High Thresh.,2008,EU_COST(core)
100383956,Late Majority,High Thresh.,2011,North America
100384011,Early Adopters,High Thresh.,2003,ASOC(periphery)
100384665,Early Majority,High Thresh.,2009,North America
100385401,Early Majority,High Thresh.,2006,EU_COST(periphery)
100388706,Laggards,High Thresh.,2017,North America
100390211,Late Majority,High Thresh.,2014,ASOC(core)
100392806,Early Adopters,High Thresh.,2004,North America
100393154,Late Majority,High Thresh.,2015,North America
100396684,Laggards,Low Thresh.,2017,North America
100398661,Late Majority,High Thresh.,2012,North America
100410716,Early Majority,High Thresh.,2005,EU_COST(core)
100414207,Early Adopters,Very Low Thresh.,2003,EU_COST(core)
100418659,Early Adopters,High Thresh.,2004,North America
100421750,Late Majority,High Thresh.,2015,North America
100425528,Early Adopters,Very Low Thresh.,2003,EU_COST(core)
100430027,Early Majority,High Thresh.,2010,EU_COST(core)
100432357,Early Majority,Very Low Thresh.,2007,North America
100434272,Early Majority,High Thresh.,2007,ASOC(periphery)
100447416,Early Adopters,High Thresh.,2003,EU_COST(core)
100454649,Early Adopters,Very Low Thresh.,2001,North America
100469610,Laggards,Very Low Thresh.,2016,ASOC(periphery)
100471963,Early Majority,High Thresh.,2006,EU_COST(core)
100473840,Late Majority,High Thresh.,2015,North America
100481479,Late Majority,High Thresh.,2013,EU_COST(periphery)
100482957,Early Majority,Low Thresh.,2007,EU_COST(periphery)
100490960,Early Majority,High Thresh.,2007,EU_COST(periphery)
100506042,Late Majority,High Thresh.,2015,ASOC(core)
100510982,Laggards,High Thresh.,2017,EU_COST(periphery)
100511854,Late Majority,High Thresh.,2011,EU_COST(core)
100525866,Late Majority,High Thresh.,2013,EU_COST(core)
100528017,Early Adopters,Very Low Thresh.,2000,EU_COST(core)
100528374,Early Majority,High Thresh.,2010,EU_COST(core)
100532196,Late Majority,High Thresh.,2013,EU_COST(periphery)
100541698,Early Majority,High Thresh.,2010,EU_COST(core)
100554309,Late Majority,High Thresh.,2012,ASOC(core)
100559115,Early Majority,Very Low Thresh.,2006,EU_COST(periphery)
100568187,Laggards,Low Thresh.,2017,ASOC(core)
100576524,Early Adopters,High Thresh.,2000,ASOC(periphery)
100587752,Late Majority,High Thresh.,2012,EU_COST(core)
100592611,Early Majority,Low Thresh.,2009,North America
100597618,Early Majority,High Thresh.,2006,EU_COST(periphery)
100601507,Late Majority,High Thresh.,2012,EU_COST(periphery)
100609876,Early Majority,High Thresh.,2009,ASOC(core)
100614903,Early Adopters,Low Thresh.,2004,North America
100622810,Laggards,High Thresh.,2017,ASOC(core)
100658346,Early Adopters,High Thresh.,2000,ASOC(periphery)
100669392,Early Adopters,Low Thresh.,1999,EU_COST(core)
100694473,Late Majority,High Thresh.,2013,North America
100696757,Late Majority,High Thresh.,2015,ASOC(core)
100714307,Late Majority,Very Low Thresh.,2014,ASOC(core)
100775748,Laggards,High Thresh.,2016,EU_COST(periphery)
