afid,adoption_class,threshold,toa,region
100310997,Early Majority,Low Thresh.,2005,ASOC(core)
100326311,Late Majority,High Thresh.,2012,ASOC(core)
100326424,Early Majority,Low Thresh.,2009,ASOC(core)
100337568,Early Majority,High Thresh.,2009,ASOC(core)
100350599,Late Majority,Low Thresh.,2012,ASOC(core)
100369242,Late Majority,High Thresh.,2013,ASOC(core)
100372958,Early Majority,High Thresh.,2008,ASOC(core)
100390211,Late Majority,High Thresh.,2014,ASOC(core)
100506042,Late Majority,High Thresh.,2015,ASOC(core)
100554309,Late Majority,High Thresh.,2012,ASOC(core)
100568187,Laggards,Low Thresh.,2017,ASOC(core)
100609876,Early Majority,High Thresh.,2009,ASOC(core)
100622810,Laggards,High Thresh.,2017,ASOC(core)
100696757,Late Majority,High Thresh.,2015,ASOC(core)
100714307,Late Majority,Very Low Thresh.,2014,ASOC(core)
100795574,Late Majority,High Thresh.,2012,ASOC(core)
100893996,Late Majority,High Thresh.,2014,ASOC(core)
101364708,Late Majority,High Thresh.,2013,ASOC(core)
101512740,Early Majority,High Thresh.,2009,ASOC(core)
101586902,Early Majority,High Thresh.,2005,ASOC(core)
101649508,Laggards,High Thresh.,2017,ASOC(core)
101853787,Late Majority,Low Thresh.,2015,ASOC(core)
105172416,Laggards,High Thresh.,2016,ASOC(core)
105557386,Laggards,High Thresh.,2017,ASOC(core)
105595680,Early Majority,High Thresh.,2009,ASOC(core)
105749568,Late Majority,High Thresh.,2014,ASOC(core)
105821751,Laggards,High Thresh.,2017,ASOC(core)
105917068,Early Majority,High Thresh.,2009,ASOC(core)
106380473,Early Majority,High Thresh.,2009,ASOC(core)
106403249,Late Majority,High Thresh.,2011,ASOC(core)
106441948,Early Majority,High Thresh.,2009,ASOC(core)
106443931,Early Majority,High Thresh.,2010,ASOC(core)
106539902,Late Majority,High Thresh.,2014,ASOC(core)
106589195,Early Majority,High Thresh.,2009,ASOC(core)
106624265,Early Majority,High Thresh.,2008,ASOC(core)
106728380,Late Majority,Low Thresh.,2014,ASOC(core)
106796436,Late Majority,High Thresh.,2011,ASOC(core)
106998444,Late Majority,High Thresh.,2014,ASOC(core)
107752850,Early Adopters,High Thresh.,2003,ASOC(core)
108062849,Late Majority,High Thresh.,2014,ASOC(core)
108190164,Laggards,High Thresh.,2017,ASOC(core)
108214385,Late Majority,High Thresh.,2013,ASOC(core)
108517940,Late Majority,Low Thresh.,2013,ASOC(core)
108611203,Late Majority,High Thresh.,2013,ASOC(core)
109117909,Laggards,High Thresh.,2016,ASOC(core)
109545036,Laggards,High Thresh.,2017,ASOC(core)
109674397,Laggards,High Thresh.,2016,ASOC(core)
109717513,Late Majority,High Thresh.,2015,ASOC(core)
109913348,Laggards,High Thresh.,2017,ASOC(core)
110105355,Laggards,Low Thresh.,2017,ASOC(core)
110211775,Late Majority,High Thresh.,2013,ASOC(core)
110245074,Laggards,Low Thresh.,2017,ASOC(core)
111895005,Laggards,High Thresh.,2017,ASOC(core)
112088333,Laggards,High Thresh.,2016,ASOC(core)
112098342,Late Majority,Low Thresh.,2015,ASOC(core)
112192125,Early Majority,High Thresh.,2010,ASOC(core)
112560601,Laggards,High Thresh.,2016,ASOC(core)
112595776,Late Majority,Low Thresh.,2015,ASOC(core)
112600261,Laggards,High Thresh.,2017,ASOC(core)
112601710,Laggards,High Thresh.,2016,ASOC(core)
112645651,Laggards,High Thresh.,2017,ASOC(core)
112650834,Late Majority,Low Thresh.,2012,ASOC(core)
112682244,Laggards,High Thresh.,2017,ASOC(core)
112789381,Laggards,High Thresh.,2017,ASOC(core)
112798740,Laggards,Low Thresh.,2017,ASOC(core)
