afid,adoption_class,threshold,toa,region
100318468,Early Adopters,Very Low Thresh.,2003,ASOC(periphery)
100329449,Late Majority,High Thresh.,2012,ASOC(periphery)
100331998,Early Adopters,High Thresh.,2002,ASOC(periphery)
100340874,Late Majority,Very Low Thresh.,2015,ASOC(periphery)
100343294,Late Majority,High Thresh.,2013,ASOC(periphery)
100364009,Late Majority,Low Thresh.,2013,ASOC(periphery)
100384011,Early Adopters,High Thresh.,2003,ASOC(periphery)
100434272,Early Majority,High Thresh.,2007,ASOC(periphery)
100469610,Laggards,Very Low Thresh.,2016,ASOC(periphery)
100576524,Early Adopters,High Thresh.,2000,ASOC(periphery)
100658346,Early Adopters,High Thresh.,2000,ASOC(periphery)
105231503,Late Majority,High Thresh.,2015,ASOC(periphery)
105286149,Late Majority,High Thresh.,2015,ASOC(periphery)
105727088,Early Majority,High Thresh.,2009,ASOC(periphery)
106733584,Laggards,Very Low Thresh.,2017,ASOC(periphery)
107070595,Late Majority,High Thresh.,2012,ASOC(periphery)
107602978,Late Majority,High Thresh.,2015,ASOC(periphery)
108117756,Early Majority,Low Thresh.,2010,ASOC(periphery)
108265554,Laggards,High Thresh.,2016,ASOC(periphery)
112967437,Late Majority,Very Low Thresh.,2015,ASOC(periphery)
113302252,Laggards,High Thresh.,2017,ASOC(periphery)
113401818,Late Majority,Low Thresh.,2014,ASOC(periphery)
113458986,Late Majority,High Thresh.,2014,ASOC(periphery)
113771252,Late Majority,High Thresh.,2014,ASOC(periphery)
114013220,Laggards,High Thresh.,2016,ASOC(periphery)
114381057,Late Majority,High Thresh.,2015,ASOC(periphery)
114437154,Laggards,High Thresh.,2017,ASOC(periphery)
114674190,Laggards,High Thresh.,2017,ASOC(periphery)
115167315,Late Majority,High Thresh.,2015,ASOC(periphery)
115289499,Laggards,High Thresh.,2017,ASOC(periphery)
115839391,Laggards,High Thresh.,2017,ASOC(periphery)
60000078,Late Majority,Low Thresh.,2012,ASOC(periphery)
60000316,Late Majority,High Thresh.,2014,ASOC(periphery)
60000414,Late Majority,High Thresh.,2015,ASOC(periphery)
60000627,Laggards,High Thresh.,2017,ASOC(periphery)
60000653,Laggards,High Thresh.,2017,ASOC(periphery)
60000881,Late Majority,High Thresh.,2011,ASOC(periphery)
60000906,Early Majority,Low Thresh.,2010,ASOC(periphery)
60001166,Late Majority,Low Thresh.,2012,ASOC(periphery)
60001278,Laggards,Very Low Thresh.,2016,ASOC(periphery)
60001500,Laggards,Low Thresh.,2017,ASOC(periphery)
60001619,Laggards,Low Thresh.,2016,ASOC(periphery)
60001821,Laggards,Very Low Thresh.,2017,ASOC(periphery)
60001933,Late Majority,High Thresh.,2015,ASOC(periphery)
60002316,Early Majority,High Thresh.,2010,ASOC(periphery)
60002668,Laggards,High Thresh.,2016,ASOC(periphery)
60002798,Early Adopters,Very Low Thresh.,1999,ASOC(periphery)
60003436,Early Adopters,High Thresh.,2004,ASOC(periphery)
60004009,Early Majority,High Thresh.,2007,ASOC(periphery)
60004391,Laggards,Very Low Thresh.,2017,ASOC(periphery)
