afid,adoption_class,threshold,toa,region
100317317,Laggards,High Thresh.,2016,EU_COST(core)
100319261,Early Majority,High Thresh.,2005,EU_COST(core)
100328212,Early Adopters,High Thresh.,2003,EU_COST(core)
100329824,Late Majority,High Thresh.,2015,EU_COST(core)
100331481,Late Majority,High Thresh.,2013,EU_COST(core)
100333513,Early Adopters,High Thresh.,2004,EU_COST(core)
100339938,Early Majority,High Thresh.,2009,EU_COST(core)
100341274,Early Majority,High Thresh.,2006,EU_COST(core)
100343596,Early Majority,High Thresh.,2008,EU_COST(core)
100370048,Late Majority,High Thresh.,2012,EU_COST(core)
100373345,Early Majority,Low Thresh.,2006,EU_COST(core)
100380370,Early Majority,High Thresh.,2008,EU_COST(core)
100410716,Early Majority,High Thresh.,2005,EU_COST(core)
100414207,Early Adopters,Very Low Thresh.,2003,EU_COST(core)
100425528,Early Adopters,Very Low Thresh.,2003,EU_COST(core)
100430027,Early Majority,High Thresh.,2010,EU_COST(core)
100447416,Early Adopters,High Thresh.,2003,EU_COST(core)
100471963,Early Majority,High Thresh.,2006,EU_COST(core)
100511854,Late Majority,High Thresh.,2011,EU_COST(core)
100525866,Late Majority,High Thresh.,2013,EU_COST(core)
100528017,Early Adopters,Very Low Thresh.,2000,EU_COST(core)
100528374,Early Majority,High Thresh.,2010,EU_COST(core)
100541698,Early Majority,High Thresh.,2010,EU_COST(core)
100587752,Late Majority,High Thresh.,2012,EU_COST(core)
100669392,Early Adopters,Low Thresh.,1999,EU_COST(core)
100780992,Early Majority,High Thresh.,2005,EU_COST(core)
100806537,Late Majority,Low Thresh.,2015,EU_COST(core)
100822600,Early Majority,High Thresh.,2007,EU_COST(core)
100851172,Late Majority,High Thresh.,2015,EU_COST(core)
100948646,Early Adopters,Low Thresh.,2004,EU_COST(core)
101007847,Early Majority,High Thresh.,2010,EU_COST(core)
101347519,Laggards,High Thresh.,2016,EU_COST(core)
101365462,Early Majority,High Thresh.,2009,EU_COST(core)
101631831,Laggards,High Thresh.,2016,EU_COST(core)
101935225,Late Majority,High Thresh.,2013,EU_COST(core)
101998691,Early Majority,High Thresh.,2008,EU_COST(core)
102051681,Early Majority,Very Low Thresh.,2010,EU_COST(core)
102066431,Late Majority,High Thresh.,2014,EU_COST(core)
105249334,Early Majority,High Thresh.,2008,EU_COST(core)
105429889,Late Majority,High Thresh.,2015,EU_COST(core)
105582475,Early Majority,High Thresh.,2010,EU_COST(core)
106199443,Early Majority,High Thresh.,2010,EU_COST(core)
106560772,Laggards,High Thresh.,2016,EU_COST(core)
106738008,Laggards,Low Thresh.,2016,EU_COST(core)
107029671,Late Majority,High Thresh.,2013,EU_COST(core)
107034693,Late Majority,High Thresh.,2011,EU_COST(core)
107151125,Laggards,Very Low Thresh.,2017,EU_COST(core)
108073885,Early Majority,High Thresh.,2010,EU_COST(core)
108166907,Late Majority,High Thresh.,2013,EU_COST(core)
108186131,Late Majority,High Thresh.,2014,EU_COST(core)
108332227,Late Majority,Low Thresh.,2015,EU_COST(core)
109168790,Late Majority,High Thresh.,2013,EU_COST(core)
109482373,Laggards,High Thresh.,2017,EU_COST(core)
109508205,Late Majority,High Thresh.,2015,EU_COST(core)
109854866,Late Majority,High Thresh.,2013,EU_COST(core)
109901083,Laggards,High Thresh.,2016,EU_COST(core)
111695237,Late Majority,High Thresh.,2015,EU_COST(core)
112590414,Laggards,Very Low Thresh.,2017,EU_COST(core)
112590429,Late Majority,High Thresh.,2015,EU_COST(core)
112606059,Laggards,High Thresh.,2016,EU_COST(core)
112615779,Late Majority,Very Low Thresh.,2013,EU_COST(core)
112625767,Late Majority,Very Low Thresh.,2015,EU_COST(core)
112629257,Laggards,High Thresh.,2016,EU_COST(core)
112639996,Late Majority,High Thresh.,2012,EU_COST(core)
112771286,Late Majority,High Thresh.,2013,EU_COST(core)
112916322,Late Majority,High Thresh.,2015,EU_COST(core)
112974210,Late Majority,Very Low Thresh.,2015,EU_COST(core)
113024189,Late Majority,High Thresh.,2015,EU_COST(core)
113046488,Late Majority,High Thresh.,2013,EU_COST(core)
113130328,Laggards,High Thresh.,2017,EU_COST(core)
113167224,Late Majority,High Thresh.,2015,EU_COST(core)
113217847,Early Majority,High Thresh.,2010,EU_COST(core)
113259497,Laggards,High Thresh.,2016,EU_COST(core)
113518319,Late Majority,High Thresh.,2014,EU_COST(core)
113700619,Late Majority,High Thresh.,2014,EU_COST(core)
114194106,Laggards,High Thresh.,2016,EU_COST(core)
114283926,Laggards,Low Thresh.,2016,EU_COST(core)
114345389,Late Majority,High Thresh.,2015,EU_COST(core)
114439723,Late Majority,High Thresh.,2015,EU_COST(core)
114551954,Late Majority,High Thresh.,2015,EU_COST(core)
114559763,Late Majority,Low Thresh.,2015,EU_COST(core)
120327027,Laggards,High Thresh.,2017,EU_COST(core)
60000020,Early Majority,Very Low Thresh.,2010,EU_COST(core)
60000064,Late Majority,High Thresh.,2014,EU_COST(core)
60000112,Early Majority,High Thresh.,2008,EU_COST(core)
60000179,Early Adopters,Very Low Thresh.,1997,EU_COST(core)
60000256,Late Majority,Low Thresh.,2015,EU_COST(core)
60000291,Early Majority,High Thresh.,2008,EU_COST(core)
60000368,Late Majority,High Thresh.,2013,EU_COST(core)
60000401,Early Adopters,Low Thresh.,2003,EU_COST(core)
60000445,Early Adopters,Very Low Thresh.,1999,EU_COST(core)
60000456,Early Adopters,High Thresh.,2002,EU_COST(core)
60000485,Laggards,High Thresh.,2016,EU_COST(core)
60000661,Late Majority,High Thresh.,2015,EU_COST(core)
60000679,Early Majority,High Thresh.,2007,EU_COST(core)
60000694,Early Adopters,Low Thresh.,2004,EU_COST(core)
60000703,Laggards,Very Low Thresh.,2017,EU_COST(core)
60000726,Early Majority,Low Thresh.,2007,EU_COST(core)
60000762,Early Adopters,High Thresh.,2000,EU_COST(core)
60000765,Early Majority,Low Thresh.,2005,EU_COST(core)
60000905,Early Adopters,Low Thresh.,1998,EU_COST(core)
60001091,Late Majority,Low Thresh.,2011,EU_COST(core)
60001097,Late Majority,High Thresh.,2012,EU_COST(core)
60001157,Early Adopters,High Thresh.,2004,EU_COST(core)
60001301,Early Majority,Low Thresh.,2010,EU_COST(core)
60001404,Early Adopters,High Thresh.,2002,EU_COST(core)
60001422,Early Adopters,Very Low Thresh.,1998,EU_COST(core)
