afid,adoption_class,threshold,toa,region
100322378,Laggards,Low Thresh.,2017,EU_COST(periphery)
100324794,Early Majority,Low Thresh.,2006,EU_COST(periphery)
100338748,Early Majority,High Thresh.,2007,EU_COST(periphery)
100362433,Late Majority,High Thresh.,2011,EU_COST(periphery)
100385401,Early Majority,High Thresh.,2006,EU_COST(periphery)
100481479,Late Majority,High Thresh.,2013,EU_COST(periphery)
100482957,Early Majority,Low Thresh.,2007,EU_COST(periphery)
100490960,Early Majority,High Thresh.,2007,EU_COST(periphery)
100510982,Laggards,High Thresh.,2017,EU_COST(periphery)
100532196,Late Majority,High Thresh.,2013,EU_COST(periphery)
100559115,Early Majority,Very Low Thresh.,2006,EU_COST(periphery)
100597618,Early Majority,High Thresh.,2006,EU_COST(periphery)
100601507,Late Majority,High Thresh.,2012,EU_COST(periphery)
100775748,Laggards,High Thresh.,2016,EU_COST(periphery)
101120209,Late Majority,High Thresh.,2014,EU_COST(periphery)
101330542,Laggards,High Thresh.,2017,EU_COST(periphery)
101963588,Late Majority,High Thresh.,2012,EU_COST(periphery)
105467947,Late Majority,Low Thresh.,2013,EU_COST(periphery)
105767902,Late Majority,High Thresh.,2013,EU_COST(periphery)
106588050,Late Majority,High Thresh.,2014,EU_COST(periphery)
106722246,Late Majority,High Thresh.,2013,EU_COST(periphery)
107263482,Late Majority,Low Thresh.,2011,EU_COST(periphery)
107774027,Late Majority,High Thresh.,2013,EU_COST(periphery)
108132525,Laggards,Low Thresh.,2017,EU_COST(periphery)
108359383,Late Majority,Low Thresh.,2013,EU_COST(periphery)
108558256,Late Majority,Very Low Thresh.,2011,EU_COST(periphery)
109412742,Laggards,High Thresh.,2016,EU_COST(periphery)
109502892,Laggards,High Thresh.,2016,EU_COST(periphery)
110005208,Late Majority,Low Thresh.,2013,EU_COST(periphery)
110031951,Late Majority,High Thresh.,2013,EU_COST(periphery)
110211728,Laggards,High Thresh.,2016,EU_COST(periphery)
110271664,Late Majority,High Thresh.,2015,EU_COST(periphery)
111215346,Laggards,Very Low Thresh.,2017,EU_COST(periphery)
111335808,Late Majority,High Thresh.,2012,EU_COST(periphery)
111745196,Late Majority,Low Thresh.,2014,EU_COST(periphery)
112418235,Late Majority,Very Low Thresh.,2012,EU_COST(periphery)
112420007,Late Majority,High Thresh.,2014,EU_COST(periphery)
112541202,Late Majority,High Thresh.,2014,EU_COST(periphery)
112584415,Late Majority,High Thresh.,2013,EU_COST(periphery)
112593806,Laggards,High Thresh.,2017,EU_COST(periphery)
112612531,Laggards,Low Thresh.,2017,EU_COST(periphery)
112615496,Late Majority,High Thresh.,2015,EU_COST(periphery)
112625494,Late Majority,Very Low Thresh.,2011,EU_COST(periphery)
112627340,Laggards,Low Thresh.,2016,EU_COST(periphery)
112649922,Late Majority,Very Low Thresh.,2014,EU_COST(periphery)
112665169,Laggards,High Thresh.,2016,EU_COST(periphery)
112772212,Late Majority,Low Thresh.,2013,EU_COST(periphery)
112797167,Late Majority,High Thresh.,2015,EU_COST(periphery)
112856814,Late Majority,High Thresh.,2013,EU_COST(periphery)
112905234,Late Majority,High Thresh.,2013,EU_COST(periphery)
112932617,Laggards,High Thresh.,2016,EU_COST(periphery)
112966979,Late Majority,High Thresh.,2014,EU_COST(periphery)
113060457,Late Majority,High Thresh.,2014,EU_COST(periphery)
113105183,Late Majority,High Thresh.,2014,EU_COST(periphery)
113114083,Late Majority,High Thresh.,2014,EU_COST(periphery)
113213250,Laggards,High Thresh.,2016,EU_COST(periphery)
113259346,Late Majority,High Thresh.,2014,EU_COST(periphery)
113492498,Late Majority,High Thresh.,2014,EU_COST(periphery)
113605132,Laggards,High Thresh.,2017,EU_COST(periphery)
113682290,Laggards,Very Low Thresh.,2017,EU_COST(periphery)
113690088,Late Majority,Very Low Thresh.,2015,EU_COST(periphery)
113700339,Late Majority,High Thresh.,2014,EU_COST(periphery)
113841469,Laggards,Low Thresh.,2017,EU_COST(periphery)
113874078,Late Majority,High Thresh.,2015,EU_COST(periphery)
114081119,Late Majority,High Thresh.,2015,EU_COST(periphery)
114161059,Late Majority,High Thresh.,2015,EU_COST(periphery)
114270770,Laggards,Low Thresh.,2017,EU_COST(periphery)
114912101,Laggards,High Thresh.,2016,EU_COST(periphery)
116657203,Laggards,High Thresh.,2017,EU_COST(periphery)
116887623,Laggards,High Thresh.,2017,EU_COST(periphery)
60000021,Early Majority,Very Low Thresh.,2008,EU_COST(periphery)
60000028,Late Majority,High Thresh.,2014,EU_COST(periphery)
60000087,Early Majority,High Thresh.,2008,EU_COST(periphery)
60000113,Late Majority,Low Thresh.,2013,EU_COST(periphery)
60000130,Early Adopters,High Thresh.,2002,EU_COST(periphery)
60000145,Early Adopters,Very Low Thresh.,2003,EU_COST(periphery)
60000239,Early Adopters,Low Thresh.,2003,EU_COST(periphery)
60000457,Late Majority,High Thresh.,2015,EU_COST(periphery)
60000481,Early Adopters,Low Thresh.,1997,EU_COST(periphery)
60000666,Early Adopters,High Thresh.,1999,EU_COST(periphery)
60000718,Late Majority,High Thresh.,2015,EU_COST(periphery)
60000823,Late Majority,Low Thresh.,2012,EU_COST(periphery)
60000852,Laggards,High Thresh.,2016,EU_COST(periphery)
60000874,Early Majority,High Thresh.,2010,EU_COST(periphery)
60000950,Late Majority,High Thresh.,2012,EU_COST(periphery)
60000961,Late Majority,High Thresh.,2013,EU_COST(periphery)
60000964,Early Adopters,High Thresh.,2000,EU_COST(periphery)
60000989,Late Majority,Low Thresh.,2013,EU_COST(periphery)
60000990,Early Majority,High Thresh.,2010,EU_COST(periphery)
60001104,Late Majority,High Thresh.,2014,EU_COST(periphery)
