afid,adoption_class,threshold,toa,region
100372383,Early Majority,High Thresh.,2007,LAZEN
100789842,Late Majority,High Thresh.,2011,LAZEN
101807204,Late Majority,Very Low Thresh.,2015,LAZEN
102033529,Early Majority,High Thresh.,2008,LAZEN
105293400,Late Majority,High Thresh.,2012,LAZEN
105891680,Late Majority,Very Low Thresh.,2015,LAZEN
105907156,Late Majority,High Thresh.,2013,LAZEN
107313374,Late Majority,High Thresh.,2011,LAZEN
107947102,Late Majority,High Thresh.,2014,LAZEN
108105774,Late Majority,Low Thresh.,2011,LAZEN
108105825,Late Majority,High Thresh.,2011,LAZEN
109408424,Late Majority,High Thresh.,2014,LAZEN
110112386,Late Majority,Low Thresh.,2013,LAZEN
110545899,Late Majority,High Thresh.,2012,LAZEN
112165116,Early Majority,High Thresh.,2007,LAZEN
112584822,Laggards,Very Low Thresh.,2016,LAZEN
112587036,Late Majority,High Thresh.,2011,LAZEN
112589735,Late Majority,High Thresh.,2015,LAZEN
112593589,Late Majority,Low Thresh.,2012,LAZEN
112598443,Late Majority,Low Thresh.,2013,LAZEN
113018289,Late Majority,High Thresh.,2014,LAZEN
113057382,Late Majority,High Thresh.,2015,LAZEN
113073347,Late Majority,Low Thresh.,2014,LAZEN
113446419,Late Majority,High Thresh.,2014,LAZEN
113494769,Late Majority,High Thresh.,2015,LAZEN
113536478,Late Majority,High Thresh.,2014,LAZEN
114850122,Laggards,Low Thresh.,2016,LAZEN
116124714,Laggards,High Thresh.,2017,LAZEN
120325973,Laggards,Low Thresh.,2016,LAZEN
60000036,Early Adopters,Very Low Thresh.,2002,LAZEN
60000509,Early Majority,Very Low Thresh.,2008,LAZEN
60000658,Early Majority,High Thresh.,2006,LAZEN
60001282,Laggards,High Thresh.,2016,LAZEN
60001563,Early Majority,High Thresh.,2007,LAZEN
60001890,Late Majority,Low Thresh.,2011,LAZEN
60002218,Early Majority,High Thresh.,2007,LAZEN
60002636,Early Majority,High Thresh.,2005,LAZEN
60002864,Early Majority,Low Thresh.,2010,LAZEN
60002946,Early Adopters,Very Low Thresh.,2001,LAZEN
60003079,Laggards,High Thresh.,2016,LAZEN
60003634,Early Majority,Very Low Thresh.,2009,LAZEN
60004518,Early Majority,Very Low Thresh.,2009,LAZEN
60005499,Early Majority,High Thresh.,2010,LAZEN
60005618,Late Majority,High Thresh.,2012,LAZEN
60006028,Early Majority,High Thresh.,2008,LAZEN
60006726,Early Majority,High Thresh.,2005,LAZEN
60008088,Early Adopters,High Thresh.,2003,LAZEN
60008781,Early Majority,Very Low Thresh.,2008,LAZEN
60008944,Late Majority,Very Low Thresh.,2015,LAZEN
60009149,Early Majority,High Thresh.,2009,LAZEN
60009625,Late Majority,High Thresh.,2011,LAZEN
60010253,Laggards,Low Thresh.,2017,LAZEN
60010295,Laggards,High Thresh.,2016,LAZEN
60010749,Late Majority,High Thresh.,2014,LAZEN
60011300,Early Majority,Very Low Thresh.,2007,LAZEN
60011324,Late Majority,High Thresh.,2015,LAZEN
60011682,Laggards,Low Thresh.,2017,LAZEN
60012035,Late Majority,High Thresh.,2013,LAZEN
60012374,Laggards,High Thresh.,2016,LAZEN
60012464,Early Adopters,High Thresh.,2000,LAZEN
60013084,Early Majority,Very Low Thresh.,2010,LAZEN
60013259,Laggards,High Thresh.,2016,LAZEN
60013592,Early Majority,Low Thresh.,2007,LAZEN
60013710,Late Majority,High Thresh.,2015,LAZEN
60013792,Early Adopters,Very Low Thresh.,2002,LAZEN
60014120,Late Majority,Low Thresh.,2014,LAZEN
60014598,Late Majority,High Thresh.,2013,LAZEN
60014923,Laggards,High Thresh.,2016,LAZEN
60014992,Laggards,Very Low Thresh.,2016,LAZEN
60015043,Early Majority,High Thresh.,2010,LAZEN
60015760,Early Majority,High Thresh.,2005,LAZEN
60016746,Laggards,Low Thresh.,2016,LAZEN
60016828,Laggards,High Thresh.,2017,LAZEN
60017323,Late Majority,Very Low Thresh.,2012,LAZEN
60017609,Early Majority,High Thresh.,2007,LAZEN
60017841,Laggards,High Thresh.,2017,LAZEN
60017903,Laggards,Low Thresh.,2016,LAZEN
60019176,Late Majority,Very Low Thresh.,2014,LAZEN
60019907,Late Majority,Low Thresh.,2011,LAZEN
60020402,Laggards,High Thresh.,2017,LAZEN
60020457,Late Majority,High Thresh.,2015,LAZEN
60020776,Late Majority,Low Thresh.,2015,LAZEN
60021547,Late Majority,Low Thresh.,2012,LAZEN
60023383,Laggards,Low Thresh.,2017,LAZEN
60023857,Early Majority,High Thresh.,2010,LAZEN
60024989,Early Majority,High Thresh.,2010,LAZEN
60025701,Early Majority,Very Low Thresh.,2010,LAZEN
60026004,Early Adopters,Very Low Thresh.,2004,LAZEN
60026891,Late Majority,High Thresh.,2013,LAZEN
60027136,Laggards,High Thresh.,2016,LAZEN
60027866,Late Majority,Very Low Thresh.,2015,LAZEN
60028381,Late Majority,Low Thresh.,2015,LAZEN
60028804,Late Majority,High Thresh.,2015,LAZEN
60029159,Late Majority,High Thresh.,2015,LAZEN
60029570,Late Majority,Low Thresh.,2014,LAZEN
60029681,Early Majority,High Thresh.,2008,LAZEN
60030074,Early Majority,High Thresh.,2009,LAZEN
60030258,Late Majority,High Thresh.,2014,LAZEN
60031482,Laggards,Very Low Thresh.,2017,LAZEN
60032057,Late Majority,Very Low Thresh.,2012,LAZEN
60032442,Early Majority,Very Low Thresh.,2008,LAZEN
60032563,Late Majority,Very Low Thresh.,2014,LAZEN
60032751,Late Majority,Very Low Thresh.,2013,LAZEN
60033356,Late Majority,Low Thresh.,2011,LAZEN
60052106,Laggards,High Thresh.,2016,LAZEN
60055047,Laggards,High Thresh.,2017,LAZEN
60055696,Late Majority,Very Low Thresh.,2013,LAZEN
60055833,Laggards,Low Thresh.,2017,LAZEN
60057258,Late Majority,Very Low Thresh.,2014,LAZEN
60061186,Laggards,High Thresh.,2017,LAZEN
60069652,Early Majority,Very Low Thresh.,2006,LAZEN
60071003,Laggards,High Thresh.,2017,LAZEN
60071006,Laggards,High Thresh.,2017,LAZEN
60071237,Late Majority,Low Thresh.,2014,LAZEN
60071610,Late Majority,Low Thresh.,2014,LAZEN
60071612,Late Majority,High Thresh.,2011,LAZEN
60072035,Late Majority,Low Thresh.,2013,LAZEN
60072063,Late Majority,High Thresh.,2015,LAZEN
60082715,Laggards,Low Thresh.,2016,LAZEN
60092193,Early Majority,Low Thresh.,2010,LAZEN
60103734,Laggards,Low Thresh.,2017,LAZEN
60105088,Early Majority,High Thresh.,2008,LAZEN
60105371,Laggards,High Thresh.,2016,LAZEN
60106645,Laggards,Low Thresh.,2017,LAZEN
60109296,Laggards,High Thresh.,2017,LAZEN
60109298,Laggards,High Thresh.,2016,LAZEN
60110316,Laggards,High Thresh.,2017,LAZEN
