afid,adoption_class,threshold,toa,region
100314434,Early Adopters,High Thresh.,2003,North America
100323675,Laggards,High Thresh.,2017,North America
100330039,Early Adopters,Low Thresh.,2002,North America
100331946,Early Adopters,Low Thresh.,2004,North America
100333997,Early Adopters,High Thresh.,2003,North America
100336660,Early Majority,High Thresh.,2005,North America
100336685,Early Majority,Low Thresh.,2005,North America
100337173,Late Majority,Very Low Thresh.,2014,North America
100341569,Early Adopters,High Thresh.,2004,North America
100342151,Laggards,High Thresh.,2016,North America
100343875,Late Majority,High Thresh.,2015,North America
100358996,Early Majority,High Thresh.,2006,North America
100368611,Laggards,High Thresh.,2017,North America
100372538,Late Majority,Very Low Thresh.,2013,North America
100383956,Late Majority,High Thresh.,2011,North America
100384665,Early Majority,High Thresh.,2009,North America
100388706,Laggards,High Thresh.,2017,North America
100392806,Early Adopters,High Thresh.,2004,North America
100393154,Late Majority,High Thresh.,2015,North America
100396684,Laggards,Low Thresh.,2017,North America
100398661,Late Majority,High Thresh.,2012,North America
100418659,Early Adopters,High Thresh.,2004,North America
100421750,Late Majority,High Thresh.,2015,North America
100432357,Early Majority,Very Low Thresh.,2007,North America
100454649,Early Adopters,Very Low Thresh.,2001,North America
100473840,Late Majority,High Thresh.,2015,North America
100592611,Early Majority,Low Thresh.,2009,North America
100614903,Early Adopters,Low Thresh.,2004,North America
100694473,Late Majority,High Thresh.,2013,North America
100791792,Late Majority,High Thresh.,2011,North America
100824701,Early Majority,High Thresh.,2008,North America
100852289,Early Adopters,High Thresh.,2003,North America
100875252,Late Majority,Low Thresh.,2012,North America
101048799,Late Majority,Very Low Thresh.,2014,North America
101070301,Late Majority,High Thresh.,2012,North America
101108750,Laggards,High Thresh.,2017,North America
101220308,Late Majority,High Thresh.,2012,North America
101224310,Late Majority,High Thresh.,2013,North America
101280584,Late Majority,High Thresh.,2015,North America
101431855,Late Majority,High Thresh.,2013,North America
101781059,Early Adopters,High Thresh.,2004,North America
101804464,Laggards,High Thresh.,2017,North America
101902755,Laggards,Very Low Thresh.,2016,North America
101923250,Early Majority,High Thresh.,2009,North America
101947297,Late Majority,High Thresh.,2011,North America
101967642,Late Majority,Very Low Thresh.,2014,North America
102070690,Late Majority,High Thresh.,2011,North America
105040875,Late Majority,High Thresh.,2011,North America
105430760,Late Majority,High Thresh.,2012,North America
105820614,Late Majority,High Thresh.,2013,North America
106004279,Laggards,High Thresh.,2017,North America
106192959,Laggards,High Thresh.,2017,North America
106426722,Late Majority,Low Thresh.,2011,North America
106536410,Late Majority,High Thresh.,2011,North America
106540485,Late Majority,High Thresh.,2015,North America
106598826,Early Majority,High Thresh.,2008,North America
106923840,Early Majority,High Thresh.,2009,North America
106973903,Laggards,Very Low Thresh.,2016,North America
106981219,Early Majority,Very Low Thresh.,2010,North America
107083638,Late Majority,High Thresh.,2014,North America
107114947,Early Majority,High Thresh.,2010,North America
107712738,Late Majority,High Thresh.,2015,North America
107897830,Laggards,High Thresh.,2017,North America
107913865,Late Majority,Low Thresh.,2015,North America
107941684,Early Majority,Low Thresh.,2009,North America
108088247,Laggards,High Thresh.,2017,North America
108156394,Laggards,High Thresh.,2016,North America
108156819,Laggards,Low Thresh.,2017,North America
108178762,Late Majority,High Thresh.,2012,North America
108369158,Late Majority,High Thresh.,2014,North America
108567977,Laggards,High Thresh.,2017,North America
109412620,Laggards,Low Thresh.,2016,North America
109427958,Late Majority,High Thresh.,2013,North America
109464758,Late Majority,High Thresh.,2011,North America
109583313,Laggards,High Thresh.,2016,North America
109727442,Late Majority,High Thresh.,2012,North America
110007672,Laggards,Low Thresh.,2017,North America
110034996,Late Majority,Low Thresh.,2014,North America
110236123,Late Majority,High Thresh.,2012,North America
110925422,Late Majority,High Thresh.,2012,North America
112118127,Late Majority,Very Low Thresh.,2014,North America
112123897,Late Majority,High Thresh.,2012,North America
112263703,Late Majority,Very Low Thresh.,2014,North America
112357887,Laggards,High Thresh.,2017,North America
112406704,Laggards,High Thresh.,2016,North America
112571332,Laggards,Very Low Thresh.,2016,North America
112643491,Late Majority,High Thresh.,2014,North America
112655154,Late Majority,Low Thresh.,2013,North America
112683426,Late Majority,Very Low Thresh.,2014,North America
112687070,Late Majority,High Thresh.,2015,North America
112977353,Late Majority,Low Thresh.,2013,North America
113063784,Late Majority,Low Thresh.,2013,North America
113140441,Laggards,High Thresh.,2017,North America
113169130,Late Majority,High Thresh.,2015,North America
113196638,Laggards,High Thresh.,2017,North America
113221788,Late Majority,High Thresh.,2013,North America
113513583,Late Majority,Low Thresh.,2014,North America
113697868,Late Majority,High Thresh.,2015,North America
113766309,Late Majority,High Thresh.,2014,North America
113845844,Late Majority,High Thresh.,2014,North America
113848818,Late Majority,High Thresh.,2015,North America
114153073,Laggards,Very Low Thresh.,2017,North America
114311104,Laggards,Low Thresh.,2016,North America
114327552,Late Majority,High Thresh.,2015,North America
114414732,Laggards,High Thresh.,2017,North America
114508386,Laggards,High Thresh.,2017,North America
114956050,Laggards,High Thresh.,2016,North America
115063927,Laggards,High Thresh.,2017,North America
115386847,Laggards,High Thresh.,2017,North America
115792013,Laggards,Low Thresh.,2017,North America
115888374,Late Majority,High Thresh.,2015,North America
116006719,Laggards,High Thresh.,2016,North America
116207074,Laggards,High Thresh.,2017,North America
116804158,Laggards,High Thresh.,2017,North America
117724047,Laggards,High Thresh.,2016,North America
118346004,Laggards,High Thresh.,2017,North America
60000000,Early Majority,High Thresh.,2007,North America
60000009,Early Majority,High Thresh.,2006,North America
60000060,Early Majority,High Thresh.,2006,North America
60000076,Late Majority,High Thresh.,2011,North America
60000144,Late Majority,High Thresh.,2012,North America
60000164,Late Majority,Very Low Thresh.,2014,North America
60000209,Early Adopters,High Thresh.,2003,North America
60000221,Early Adopters,High Thresh.,2004,North America
60000238,Early Majority,Low Thresh.,2010,North America
60000247,Late Majority,High Thresh.,2015,North America
60000251,Early Majority,Low Thresh.,2008,North America
60000305,Early Adopters,High Thresh.,2000,North America
60000423,Late Majority,High Thresh.,2014,North America
60000460,Early Adopters,Very Low Thresh.,1997,North America
60000473,Late Majority,High Thresh.,2012,North America
60000521,Early Majority,Very Low Thresh.,2005,North America
60000673,Early Adopters,Very Low Thresh.,2001,North America
60000689,Early Majority,Very Low Thresh.,2009,North America
60000705,Laggards,High Thresh.,2017,North America
60000745,Early Majority,Low Thresh.,2005,North America
60000871,Laggards,High Thresh.,2016,North America
60000879,Early Adopters,Very Low Thresh.,2000,North America
60000885,Late Majority,High Thresh.,2014,North America
60000928,Early Adopters,High Thresh.,2000,North America
60000945,Early Adopters,Very Low Thresh.,2002,North America
