"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"100460593",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105638587",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106040537",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109039165",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112705048",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112932715",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114013220",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"114726511",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002798",NA,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,3,5,3,2,4
"60006541",NA,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,5,3,3,3,4,4
"60008592",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1
"60008928",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,2,3,3
"60013983",NA,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,1,1,3,2,6
"60014347",NA,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,3
"60025192",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60033020",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60103563",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,3,1
