"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"100576524",NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108265554",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"113458986",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"113946642",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002316",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0
"60003436",NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60004424",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60005397",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60005686",NA,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,2,3,0,2,2,2
"60006625",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60008221",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"60010296",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,4
"60011750",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,0,0,0
"60017311",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2
"60020376",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"60020518",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
"60020585",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60021545",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60023760",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"60024594",NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60025220",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60025493",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60029198",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60029749",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60032306",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60078730",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
"60100533",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60100563",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60110548",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
