"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"100318468",NA,0,0,0,0,0,0,1,0,3,1,2,0,3,0,1,1,2,0,0,4,0
"100331998",NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100360531",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100381888",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100384011",NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"100434272",NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"100468016",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100469610",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100658346",NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100755418",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100782498",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101436196",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101459541",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101555545",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105231503",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
"105233241",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105467916",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105727088",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"106446354",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106562528",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106582190",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106601319",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107070595",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"107070608",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107602978",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"108117756",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0
"108400769",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108404178",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108434743",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110072051",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110716301",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110987166",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112350598",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112804838",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112973135",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113012746",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113489509",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113619265",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113643521",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113673166",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114338853",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114338863",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115839318",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115964980",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116024900",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118727503",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119200555",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120326564",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002481",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002668",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
"60004409",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"60005510",NA,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,1,6,4,7,4,5
"60011495",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"60012607",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60015772",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60017161",NA,0,0,0,0,1,0,1,2,3,3,4,2,5,11,8,7,11,7,10,12,10
"60017958",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60019014",NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"60019102",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"60021981",NA,0,0,0,0,0,0,0,1,3,2,5,2,6,10,7,5,5,7,11,11,9
"60023202",NA,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,2,0,0,2,4,0
"60023617",NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"60024285",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"60025076",NA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"60025710",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,3,4,6,2
"60026293",NA,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,0,2,0,0,0
"60026499",NA,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,3,0,4,0,0
