"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"100460593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105638587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106040537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109039165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112705048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112932715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114013220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
"114726511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002798",0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,3,5,3,2,4,2
"60006541",0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,5,3,3,3,4,4,1
"60008592",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,2
"60008928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,2,3,3,1
"60013983",0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,1,1,3,2,6,2
"60014347",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,3,0
"60025192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60033020",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"60103563",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,3,1,1
