afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
60000021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000028,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
60000087,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894737,0,0.1
60000100,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000113,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
60000130,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.666666667,0.166666667,0.166666667,0.25,0.222222222,0.142857143,0.5
60000145,NA,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0.1875,0.4,0,0
60000197,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000239,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.25,0.5,0.4,0.315789474,0.125,0.090909091,0.269230769
60000294,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000307,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000457,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.222222222
60000481,NA,0,0,0,0.333333333,0.5,0,0,0,0.25,0.166666667,0.6,0.333333333,0.5,0.75,0.037037037,0.235294118,0.181818182,0.222222222,0.32,0.2,0.413043478
60000666,NA,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.142857143
60000718,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
60000818,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000823,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
60000852,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1
60000874,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.142857143,0,0,0
60000950,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,1,0
60000961,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000964,NA,0,0,0,0.25,0,0,0,0.5,0,0,0.333333333,0,0,0,0.1,0,0.263157895,0.137931034,0.5,0,0.3
60000989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.375,0,0,0
60000990,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333333,1,1
60001104,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
60001138,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0
60001171,NA,0,0,0,1,0.333333333,0,1,0,1,0,0.5,0.4,0,0,0,0.333333333,0,0,0,1,0
60001296,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
60001360,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60001463,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60001478,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60001524,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.25,0.666666667,0,0,0,0.4
60001576,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.095238095,0.4,0.297297297,0.346153846,0.25
60001602,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.714285714,1,0.666666667,0
60001741,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333
60001910,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60001950,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60001987,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60002014,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.25,0,0,0.714285714,0.2
60002016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.538461538,0
60002144,NA,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0.5,0.2,0,0,0,0.363636364
60002200,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60002467,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60002612,NA,0,0,0,0,0,0,0,0,0,0,0.666666667,0.4,0.166666667,0.75,0,0.6,0.4,0.375,0,0.6,0.25
60002644,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60002676,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60002695,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60002765,NA,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0,0,0,0,0,0.555555556,0.666666667,0,0.25,0.5
60002769,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.222222222,0,0.666666667
60002823,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
