"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2"
"1",1996,NA,NA,"100307129","pak",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100307129",NA,NA,NA,0,"100307129"
"2",1996,NA,NA,"100317652","ind",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100317652",NA,NA,NA,0,"100317652"
"3",1996,2003,2003,"100318468","sgp",38,23,0.605,1996,2003,NA,NA,NA,NA,NA,NA,NA,NA,"100318468",NA,NA,NA,0,"100318468"
"4",1996,NA,NA,"100318852","ind",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100318852",NA,NA,NA,0,"100318852"
"5",1996,NA,NA,"100320161","ind",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100320161",NA,NA,NA,0,"100320161"
"6",1996,NA,NA,"100320449","pak",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100320449",NA,NA,NA,0,"100320449"
"7",1996,2012,2012,"100329449","vnm",1,0,0,1996,2012,NA,NA,NA,NA,NA,NA,NA,NA,"100329449",NA,NA,NA,0,"100329449"
"8",1996,2002,2002,"100331998","sgp",5,2,0.4,1996,2002,NA,NA,NA,NA,NA,NA,NA,NA,"100331998",NA,NA,NA,0,"100331998"
"9",1996,2015,2015,"100340874","ind",6,1,0.167,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"100340874",NA,NA,NA,0,"100340874"
"10",1996,NA,NA,"100342424","sau",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100342424",NA,NA,NA,0,"100342424"
"11",1996,2013,2013,"100343294","ind",1,0,0,1996,2013,NA,NA,NA,NA,NA,NA,NA,NA,"100343294",NA,NA,NA,0,"100343294"
"12",1996,NA,NA,"100354311","ind",23,12,0.522,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100354311",NA,NA,NA,0,"100354311"
"13",1996,NA,NA,"100360531","sgp",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100360531",NA,NA,NA,0,"100360531"
"14",1996,2013,2013,"100364009","ind",5,5,1,1996,2013,NA,NA,NA,NA,NA,NA,NA,NA,"100364009",NA,NA,NA,0,"100364009"
"15",1996,NA,NA,"100365467","ind",4,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100365467",NA,NA,NA,0,"100365467"
"16",1996,NA,NA,"100381888","sgp",3,3,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100381888",NA,NA,NA,0,"100381888"
"17",1996,2003,2003,"100384011","sgp",6,4,0.667,1996,2003,NA,NA,NA,NA,NA,NA,NA,NA,"100384011",NA,NA,NA,0,"100384011"
"18",1996,NA,NA,"100385347","ind",7,3,0.429,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100385347",NA,NA,NA,0,"100385347"
"19",1996,NA,NA,"100391329","ind",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100391329",NA,NA,NA,0,"100391329"
"20",1996,NA,NA,"100398691","ind",4,1,0.25,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100398691",NA,NA,NA,0,"100398691"
"21",1996,NA,NA,"100412890","ind",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100412890",NA,NA,NA,0,"100412890"
"22",1996,NA,NA,"100430422","ind",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100430422",NA,NA,NA,0,"100430422"
"23",1996,2007,2007,"100434272","sgp",4,4,1,1996,2007,NA,NA,NA,NA,NA,NA,NA,NA,"100434272",NA,NA,NA,0,"100434272"
"24",1996,NA,NA,"100452297","ind",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100452297",NA,NA,NA,0,"100452297"
"25",1996,NA,NA,"100460593","hkg",3,3,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100460593",NA,NA,NA,0,"100460593"
"26",1996,NA,NA,"100468016","sgp",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100468016",NA,NA,NA,0,"100468016"
"27",1996,2016,2016,"100469610","sgp",8,5,0.625,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"100469610",NA,NA,NA,0,"100469610"
"28",1996,2000,2000,"100576524","nzl",1,0,0,1996,2000,NA,NA,NA,NA,NA,NA,NA,NA,"100576524",NA,NA,NA,0,"100576524"
"29",1996,NA,NA,"100596497","ind",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100596497",NA,NA,NA,0,"100596497"
"30",1996,2000,2000,"100658346","sgp",3,1,0.333,1996,2000,NA,NA,NA,NA,NA,NA,NA,NA,"100658346",NA,NA,NA,0,"100658346"
"31",1996,NA,NA,"100678623","ind",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100678623",NA,NA,NA,0,"100678623"
"32",1996,NA,NA,"100722031","ind",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100722031",NA,NA,NA,0,"100722031"
"33",1996,NA,NA,"100755418","sgp",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100755418",NA,NA,NA,0,"100755418"
"34",1996,NA,NA,"100779794","ind",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100779794",NA,NA,NA,0,"100779794"
"35",1996,NA,NA,"100782498","sgp",6,2,0.333,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100782498",NA,NA,NA,0,"100782498"
"36",1996,NA,NA,"100787557","sau",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100787557",NA,NA,NA,0,"100787557"
"37",1996,NA,NA,"101026340","ind",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101026340",NA,NA,NA,0,"101026340"
"38",1996,NA,NA,"101080431","ind",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101080431",NA,NA,NA,0,"101080431"
"39",1996,NA,NA,"101106060","mys",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101106060",NA,NA,NA,0,"101106060"
"40",1996,NA,NA,"101171393","ind",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101171393",NA,NA,NA,0,"101171393"
"41",1996,NA,NA,"101426542","sau",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101426542",NA,NA,NA,0,"101426542"
"42",1996,NA,NA,"101436196","sgp",4,2,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101436196",NA,NA,NA,0,"101436196"
"43",1996,NA,NA,"101459541","sgp",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101459541",NA,NA,NA,0,"101459541"
"44",1996,NA,NA,"101544860","lka",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101544860",NA,NA,NA,0,"101544860"
"45",1996,NA,NA,"101555545","sgp",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101555545",NA,NA,NA,0,"101555545"
"46",1996,2015,2015,"105231503","sgp",4,2,0.5,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"105231503",NA,NA,NA,0,"105231503"
"47",1996,NA,NA,"105233241","sgp",5,4,0.8,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105233241",NA,NA,NA,0,"105233241"
"48",1996,2015,2015,"105286149","ind",12,3,0.25,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"105286149",NA,NA,NA,0,"105286149"
"49",1996,NA,NA,"105467916","sgp",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105467916",NA,NA,NA,0,"105467916"
"50",1996,NA,NA,"105638587","hkg",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105638587",NA,NA,NA,0,"105638587"
"51",1996,2009,2009,"105727088","sgp",2,1,0.5,1996,2009,NA,NA,NA,NA,NA,NA,NA,NA,"105727088",NA,NA,NA,0,"105727088"
"52",1996,NA,NA,"105888081","ind",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105888081",NA,NA,NA,0,"105888081"
"53",1996,NA,NA,"105999083","ind",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105999083",NA,NA,NA,0,"105999083"
"54",1996,NA,NA,"106040537","hkg",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106040537",NA,NA,NA,0,"106040537"
"55",1996,NA,NA,"106275344","ind",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106275344",NA,NA,NA,0,"106275344"
"56",1996,NA,NA,"106405797","ind",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106405797",NA,NA,NA,0,"106405797"
"57",1996,NA,NA,"106440858","ind",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106440858",NA,NA,NA,0,"106440858"
"58",1996,NA,NA,"106446354","sgp",5,2,0.4,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106446354",NA,NA,NA,0,"106446354"
"59",1996,NA,NA,"106549330","ind",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106549330",NA,NA,NA,0,"106549330"
"60",1996,NA,NA,"106560359","ind",7,1,0.143,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106560359",NA,NA,NA,0,"106560359"
"61",1996,NA,NA,"106562528","sgp",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106562528",NA,NA,NA,0,"106562528"
"62",1996,NA,NA,"106582190","sgp",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106582190",NA,NA,NA,0,"106582190"
"63",1996,NA,NA,"106601319","sgp",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106601319",NA,NA,NA,0,"106601319"
"64",1996,NA,NA,"106606948","are",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106606948",NA,NA,NA,0,"106606948"
"65",1996,NA,NA,"106633735","ind",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106633735",NA,NA,NA,0,"106633735"
"66",1996,NA,NA,"106717131","tha",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106717131",NA,NA,NA,0,"106717131"
"67",1996,2017,2017,"106733584","ind",3,1,0.333,1996,2017,NA,NA,NA,NA,NA,NA,NA,NA,"106733584",NA,NA,NA,0,"106733584"
