"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2"
"1",1996,NA,NA,"100312675","gbr",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100312675",NA,NA,NA,0,"100312675"
"2",1996,NA,NA,"100313881","fra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100313881",NA,NA,NA,0,"100313881"
"3",1996,NA,NA,"100316070","gbr",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100316070",NA,NA,NA,0,"100316070"
"4",1996,NA,NA,"100317123","fra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100317123",NA,NA,NA,0,"100317123"
"5",1996,2016,2016,"100317317","gbr",6,1,0.167,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"100317317",NA,NA,NA,0,"100317317"
"6",1996,2005,2005,"100319261","gbr",8,5,0.625,1996,2005,NA,NA,NA,NA,NA,NA,NA,NA,"100319261",NA,NA,NA,0,"100319261"
"7",1996,NA,NA,"100323497","deu",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100323497",NA,NA,NA,0,"100323497"
"8",1996,NA,NA,"100324620","gbr",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100324620",NA,NA,NA,0,"100324620"
"9",1996,NA,NA,"100326616","fra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100326616",NA,NA,NA,0,"100326616"
"10",1996,NA,NA,"100328199","deu",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100328199",NA,NA,NA,0,"100328199"
"11",1996,2003,2003,"100328212","gbr",8,8,1,1996,2003,NA,NA,NA,NA,NA,NA,NA,NA,"100328212",NA,NA,NA,0,"100328212"
"12",1996,2015,2015,"100329824","deu",4,2,0.5,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"100329824",NA,NA,NA,0,"100329824"
"13",1996,NA,NA,"100330768","gbr",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100330768",NA,NA,NA,0,"100330768"
