per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1996,2003,2003,100314434,usa,2,0,0,1996,2003,NA,NA,NA,NA,NA,100314434,NA,0,NA,NA,NA,100314434
1996,2017,2017,100323675,usa,4,2,0.5,1996,2017,NA,NA,NA,NA,NA,100323675,NA,0,NA,NA,NA,100323675
1996,2002,2002,100330039,usa,1,1,1,1996,2002,NA,NA,NA,NA,NA,100330039,NA,0,NA,NA,NA,100330039
1996,2004,2004,100331946,usa,2,1,0.5,1996,2004,NA,NA,NA,NA,NA,100331946,NA,0,NA,NA,NA,100331946
1996,2003,2003,100333997,usa,3,1,0.333,1996,2003,NA,NA,NA,NA,NA,100333997,NA,0,NA,NA,NA,100333997
1996,2005,2005,100336660,can,1,0,0,1996,2005,NA,NA,NA,NA,NA,100336660,NA,0,NA,NA,NA,100336660
1996,2005,2005,100336685,usa,3,1,0.333,1996,2005,NA,NA,NA,NA,NA,100336685,NA,0,NA,NA,NA,100336685
1996,2014,2014,100337173,usa,4,0,0,1996,2014,NA,NA,NA,NA,NA,100337173,NA,0,NA,NA,NA,100337173
1996,2004,2004,100341569,usa,12,0,0,1996,2004,NA,NA,NA,NA,NA,100341569,NA,0,NA,NA,NA,100341569
1996,2016,2016,100342151,usa,1,0,0,1996,2016,NA,NA,NA,NA,NA,100342151,NA,0,NA,NA,NA,100342151
1996,2015,2015,100343875,usa,12,3,0.25,1996,2015,NA,NA,NA,NA,NA,100343875,NA,0,NA,NA,NA,100343875
1996,2006,2006,100358996,usa,14,5,0.357,1996,2006,NA,NA,NA,NA,NA,100358996,NA,0,NA,NA,NA,100358996
1996,2017,2017,100368611,can,6,6,1,1996,2017,NA,NA,NA,NA,NA,100368611,NA,0,NA,NA,NA,100368611
1996,2013,2013,100372538,usa,2,1,0.5,1996,2013,NA,NA,NA,NA,NA,100372538,NA,0,NA,NA,NA,100372538
1996,2011,2011,100383956,usa,6,2,0.333,1996,2011,NA,NA,NA,NA,NA,100383956,NA,0,NA,NA,NA,100383956
1996,2009,2009,100384665,usa,3,2,0.667,1996,2009,NA,NA,NA,NA,NA,100384665,NA,0,NA,NA,NA,100384665
1996,2017,2017,100388706,usa,5,1,0.2,1996,2017,NA,NA,NA,NA,NA,100388706,NA,0,NA,NA,NA,100388706
1996,2004,2004,100392806,usa,3,3,1,1996,2004,NA,NA,NA,NA,NA,100392806,NA,0,NA,NA,NA,100392806
1996,2015,2015,100393154,usa,1,0,0,1996,2015,NA,NA,NA,NA,NA,100393154,NA,0,NA,NA,NA,100393154
1996,2017,2017,100396684,usa,5,2,0.4,1996,2017,NA,NA,NA,NA,NA,100396684,NA,0,NA,NA,NA,100396684
1996,2012,2012,100398661,usa,2,0,0,1996,2012,NA,NA,NA,NA,NA,100398661,NA,0,NA,NA,NA,100398661
1996,2004,2004,100418659,usa,10,0,0,1996,2004,NA,NA,NA,NA,NA,100418659,NA,0,NA,NA,NA,100418659
1996,2015,2015,100421750,can,3,1,0.333,1996,2015,NA,NA,NA,NA,NA,100421750,NA,0,NA,NA,NA,100421750
1996,2007,2007,100432357,usa,12,6,0.5,1996,2007,NA,NA,NA,NA,NA,100432357,NA,0,NA,NA,NA,100432357
1996,2001,2001,100454649,usa,13,7,0.538,1996,2001,NA,NA,NA,NA,NA,100454649,NA,0,NA,NA,NA,100454649
1996,2015,2015,100473840,usa,5,1,0.2,1996,2015,NA,NA,NA,NA,NA,100473840,NA,0,NA,NA,NA,100473840
1996,2009,2009,100592611,usa,2,0,0,1996,2009,NA,NA,NA,NA,NA,100592611,NA,0,NA,NA,NA,100592611
1996,2004,2004,100614903,usa,5,1,0.2,1996,2004,NA,NA,NA,NA,NA,100614903,NA,0,NA,NA,NA,100614903
1996,2013,2013,100694473,usa,1,0,0,1996,2013,NA,NA,NA,NA,NA,100694473,NA,0,NA,NA,NA,100694473
1996,2011,2011,100791792,usa,4,0,0,1996,2011,NA,NA,NA,NA,NA,100791792,NA,0,NA,NA,NA,100791792
1996,2008,2008,100824701,usa,2,2,1,1996,2008,NA,NA,NA,NA,NA,100824701,NA,0,NA,NA,NA,100824701
1996,2003,2003,100852289,usa,5,1,0.2,1996,2003,NA,NA,NA,NA,NA,100852289,NA,0,NA,NA,NA,100852289
1996,2012,2012,100875252,usa,3,1,0.333,1996,2012,NA,NA,NA,NA,NA,100875252,NA,0,NA,NA,NA,100875252
1996,2014,2014,101048799,usa,1,1,1,1996,2014,NA,NA,NA,NA,NA,101048799,NA,0,NA,NA,NA,101048799
1996,2012,2012,101070301,usa,7,0,0,1996,2012,NA,NA,NA,NA,NA,101070301,NA,0,NA,NA,NA,101070301
1996,2017,2017,101108750,usa,10,0,0,1996,2017,NA,NA,NA,NA,NA,101108750,NA,0,NA,NA,NA,101108750
1996,2012,2012,101220308,usa,3,0,0,1996,2012,NA,NA,NA,NA,NA,101220308,NA,0,NA,NA,NA,101220308
1996,2013,2013,101224310,usa,7,1,0.143,1996,2013,NA,NA,NA,NA,NA,101224310,NA,0,NA,NA,NA,101224310
1996,2015,2015,101280584,usa,2,1,0.5,1996,2015,NA,NA,NA,NA,NA,101280584,NA,0,NA,NA,NA,101280584
1996,2013,2013,101431855,usa,2,0,0,1996,2013,NA,NA,NA,NA,NA,101431855,NA,0,NA,NA,NA,101431855
1996,2004,2004,101781059,usa,8,4,0.5,1996,2004,NA,NA,NA,NA,NA,101781059,NA,0,NA,NA,NA,101781059
1996,2017,2017,101804464,usa,1,0,0,1996,2017,NA,NA,NA,NA,NA,101804464,NA,0,NA,NA,NA,101804464
1996,2016,2016,101902755,usa,2,0,0,1996,2016,NA,NA,NA,NA,NA,101902755,NA,0,NA,NA,NA,101902755
1996,2009,2009,101923250,usa,7,4,0.571,1996,2009,NA,NA,NA,NA,NA,101923250,NA,0,NA,NA,NA,101923250
1996,2011,2011,101947297,usa,4,1,0.25,1996,2011,NA,NA,NA,NA,NA,101947297,NA,0,NA,NA,NA,101947297
1996,2014,2014,101967642,usa,3,0,0,1996,2014,NA,NA,NA,NA,NA,101967642,NA,0,NA,NA,NA,101967642
1996,2011,2011,102070690,usa,5,3,0.6,1996,2011,NA,NA,NA,NA,NA,102070690,NA,0,NA,NA,NA,102070690
1996,2011,2011,105040875,usa,1,1,1,1996,2011,NA,NA,NA,NA,NA,105040875,NA,0,NA,NA,NA,105040875
1996,2012,2012,105430760,usa,9,3,0.333,1996,2012,NA,NA,NA,NA,NA,105430760,NA,0,NA,NA,NA,105430760
1996,2013,2013,105820614,usa,3,0,0,1996,2013,NA,NA,NA,NA,NA,105820614,NA,0,NA,NA,NA,105820614
1996,2017,2017,106004279,usa,4,1,0.25,1996,2017,NA,NA,NA,NA,NA,106004279,NA,0,NA,NA,NA,106004279
1996,2017,2017,106192959,usa,1,1,1,1996,2017,NA,NA,NA,NA,NA,106192959,NA,0,NA,NA,NA,106192959
1996,2011,2011,106426722,usa,4,2,0.5,1996,2011,NA,NA,NA,NA,NA,106426722,NA,0,NA,NA,NA,106426722
1996,2011,2011,106536410,usa,5,2,0.4,1996,2011,NA,NA,NA,NA,NA,106536410,NA,0,NA,NA,NA,106536410
