"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"101013400",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105809832",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107932737",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108402203",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112808199",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112833658",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112835891",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112863094",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112962368",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113026324",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113195008",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115400761",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119540711",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60000113",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"60000307",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002952",NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,2,1,5,3,4
"60003237",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1
"60006425",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60006876",NA,0,0,0,0,1,0,0,2,2,3,0,0,1,0,0,1,0,0,0,5,2
"60008760",NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,8,4,5,3
"60009483",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"60009565",NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0
"60011112",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60011170",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,5,5,3
"60011551",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60012003",NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"60012511",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"60012954",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,3,5,3
"60013101",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60014090",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60015375",NA,0,0,0,0,0,0,0,3,2,3,1,1,1,0,0,0,0,4,0,0,2
"60016595",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
