"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"100510982",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"101131835",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101889034",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105804138",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106041141",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108420800",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109412742",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112741473",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113212101",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113712522",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113771072",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114007363",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117357047",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60000087",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"60001910",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002765",NA,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5,2,0,1,5
"60003665",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60003703",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"60005037",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,9,2,2,3,4
"60005681",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2
"60006723",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"60007663",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60007903",NA,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,3,1,1,1,4
"60008870",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60011766",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,4
"60015234",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"60017563",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,1,3,1
"60021364",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60022119",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
"60022403",NA,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,4,0
"60022851",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60027161",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"60027936",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"60028236",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60028306",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60029896",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,6
"60030124",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,2
"60030184",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60031805",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60033476",NA,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,2,0,0,0,0
"60072443",NA,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,3,2,2,0,3
"60072445",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"60072450",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60072456",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60080064",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60093507",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"60103271",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60106789",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
