"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"101105967",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109128194",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109502892",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
"111525199",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112593806",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"112772212",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
"60000457",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"60004060",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"60008358",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1,2
"60021479",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60023955",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2
"60025254",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60026552",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60031106",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1,3
