"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"100332640",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100368143",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100532196",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"100614061",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100680543",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100951632",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100990729",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101282777",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101605182",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101928057",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108360265",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108398276",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110231288",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112649922",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"112877159",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113682290",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"113844090",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114380392",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114912101",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"114963816",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115475977",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116697193",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119123612",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60000666",NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"60000990",NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1
"60001360",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60001950",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002014",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,2
"60003858",NA,0,0,0,1,1,2,2,2,0,0,1,0,0,0,2,0,1,0,1,5,3
"60004362",NA,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,1,1,0
"60006681",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,0,0
"60006795",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60008043",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60008141",NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
"60008841",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60009358",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,3,4,1
"60009951",NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"60012311",NA,0,0,1,0,1,0,0,0,0,0,0,3,3,5,2,4,0,6,7,11,7
"60012636",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60014077",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60015216",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60016437",NA,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,0,1,0,3,4
"60018462",NA,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60019295",NA,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,0,3,4,8,1
"60021136",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"60022068",NA,0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,2,2
"60023238",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60024021",NA,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"60025747",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"60026559",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"60027152",NA,0,0,0,1,0,0,0,2,0,0,1,0,2,2,1,2,3,0,1,3,0
"60027235",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60027675",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,3
"60028378",NA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,0,1,7,2
"60029170",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
"60029183",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"60030115",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60031040",NA,0,0,0,0,1,2,0,0,0,1,0,0,2,1,4,2,1,0,0,2,1
"60031699",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
"60079626",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"60079630",NA,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,1,0,0,0
"60103501",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60104372",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60109749",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
