"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"101013400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105809832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107932737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108402203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112808199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112833658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112835891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112863094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112962368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113026324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113195008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115400761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119540711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60000113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"60000307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002952",0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,2,1,5,3,4,13
"60003237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0
"60006425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60006876",0,0,0,0,1,0,0,2,2,3,0,0,1,0,0,1,0,0,0,5,2,5
"60008760",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,8,4,5,3,7
"60009483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"60009565",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0
"60011112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60011170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,5,5,3,7
"60011551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60012003",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
"60012511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"60012954",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,3,5,3,6
"60013101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60014090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60015375",0,0,0,0,0,0,0,3,2,3,1,1,1,0,0,0,0,4,0,0,2,0
"60016595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60016622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,3,5
"60016987",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,1,9
"60020766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4
"60020970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60022076",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2
"60022169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60022436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60024252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60025765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"60028704",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"60029080",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"60032001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60032398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
"60033191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60068778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
