"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"100332640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100368143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100532196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"100614061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100680543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100951632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100990729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101282777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101605182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101928057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108360265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108398276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110231288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112649922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"112877159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113682290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"113844090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114380392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114912101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"114963816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115475977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116697193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119123612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60000666",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"60000990",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1
"60001360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60001950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60002014",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,2,2
"60003858",0,0,0,1,1,2,2,2,0,0,1,0,0,0,2,0,1,0,1,5,3,5
"60004362",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,1,1,0,0
"60006681",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,0,0,0
"60006795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60008043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60008141",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,4
"60008841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"60009358",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,3,4,1,2
"60009951",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"60012311",0,0,1,0,1,0,0,0,0,0,0,3,3,5,2,4,0,6,7,11,7,3
"60012636",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"60014077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"60015216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60016437",0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,0,1,0,3,4,0
"60018462",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60019295",0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,0,3,4,8,1,8
"60021136",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3
"60022068",0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,2,2,1
"60023238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60024021",0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"60025747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"60026559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"60027152",0,0,0,1,0,0,0,2,0,0,1,0,2,2,1,2,3,0,1,3,0,3
"60027235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60027675",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,3,2
"60028378",0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,0,1,7,2,2
"60029170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2
"60029183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"60030115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60031040",0,0,0,0,1,2,0,0,0,1,0,0,2,1,4,2,1,0,0,2,1,0
"60031699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2
"60079626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60079630",0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,1,0,0,0,0
"60103501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60104372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60109749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
