afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,community
60000005,NA,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60000058,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60000065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60000142,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,Asia-Pacific (core)
60000174,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,Asia-Pacific (core)
60000184,NA,0,0,0,0,0,0,0,0.75,0.125,0,0.444444444,0,0,0.25,0.142857143,0.5,0.642857143,0.222222222,0.909090909,0.090909091,0,Asia-Pacific (core)
60000196,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60000264,NA,0,0,0.333333333,0.333333333,0.416666667,0,0.333333333,0.333333333,0.357142857,0.4,0.363636364,0.25,0.277777778,0.071428571,0.363636364,0.2,0.382352941,0.125,0.117647059,0,0.2,Asia-Pacific (core)
60000338,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60000402,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,Asia-Pacific (core)
60000436,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60000656,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0.5,0,0,0,Asia-Pacific (core)
60000752,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60000763,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60000819,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.25,0,0,0,0,0,0,Asia-Pacific (core)
60000872,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.153846154,0,Asia-Pacific (core)
60000937,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Asia-Pacific (core)
60001011,NA,0,0,0,0,0,0,0,0,0,0,0,0.4,0.571428571,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001018,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.230769231,0,0,1,0,0,0.25,Asia-Pacific (core)
60001099,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001170,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001187,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia-Pacific (core)
60001255,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001271,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.25,Asia-Pacific (core)
60001298,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,Asia-Pacific (core)
60001305,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001377,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001455,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.285714286,Asia-Pacific (core)
60001498,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001529,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001580,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0.285714286,0.25,0.4,1,1,0.5,0.5,Asia-Pacific (core)
60001604,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.2,0,0,0,Asia-Pacific (core)
60001857,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001873,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.352941176,Asia-Pacific (core)
60001886,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60001895,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002033,NA,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.333333333,0.6,0.4,Asia-Pacific (core)
60002050,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002090,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.2,0,Asia-Pacific (core)
60002106,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.375,0,0.5,0,0,Asia-Pacific (core)
60002210,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002222,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,Asia-Pacific (core)
60002246,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002296,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002299,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002308,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002315,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002366,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002414,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002443,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60002445,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,Asia-Pacific (core)
60002561,NA,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.5,0,0,0.75,Asia-Pacific (core)
60002593,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.125,0.5,0.176470588,0.375,0.052631579,Asia-Pacific (core)
60002773,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.666666667,0,0.666666667,0,Asia-Pacific (core)
60002783,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0,0,0.1,0,Asia-Pacific (core)
