"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2"
"1",1996,NA,NA,"100310358","ita",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100310358",NA,NA,NA,0,"100310358"
"2",1996,NA,NA,"100311856","ita",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100311856",NA,NA,NA,0,"100311856"
"3",1996,NA,NA,"100313462","irl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100313462",NA,NA,NA,0,"100313462"
"4",1996,NA,NA,"100319485","bel",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100319485",NA,NA,NA,0,"100319485"
"5",1996,2017,2017,"100322378","ita",5,2,0.4,1996,2017,NA,NA,NA,NA,NA,NA,NA,NA,"100322378",NA,NA,NA,0,"100322378"
"6",1996,2006,2006,"100324794","esp",3,1,0.333,1996,2006,NA,NA,NA,NA,NA,NA,NA,NA,"100324794",NA,NA,NA,0,"100324794"
"7",1996,NA,NA,"100325897","nor",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100325897",NA,NA,NA,0,"100325897"
"8",1996,NA,NA,"100327536","che",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100327536",NA,NA,NA,0,"100327536"
"9",1996,NA,NA,"100332640","swe",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100332640",NA,NA,NA,0,"100332640"
"10",1996,NA,NA,"100334202","ita",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100334202",NA,NA,NA,0,"100334202"
"11",1996,2007,2007,"100338748","ita",1,1,1,1996,2007,NA,NA,NA,NA,NA,NA,NA,NA,"100338748",NA,NA,NA,0,"100338748"
"12",1996,NA,NA,"100349269","ita",3,2,0.667,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100349269",NA,NA,NA,0,"100349269"
"13",1996,NA,NA,"100351022","ita",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100351022",NA,NA,NA,0,"100351022"
"14",1996,NA,NA,"100355960","hun",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100355960",NA,NA,NA,0,"100355960"
"15",1996,NA,NA,"100359243","bel",5,1,0.2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100359243",NA,NA,NA,0,"100359243"
"16",1996,2011,2011,"100362433","nor",3,2,0.667,1996,2011,NA,NA,NA,NA,NA,NA,NA,NA,"100362433",NA,NA,NA,0,"100362433"
"17",1996,NA,NA,"100363603","ita",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100363603",NA,NA,NA,0,"100363603"
"18",1996,NA,NA,"100366544","che",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100366544",NA,NA,NA,0,"100366544"
"19",1996,NA,NA,"100368143","swe",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100368143",NA,NA,NA,0,"100368143"
"20",1996,NA,NA,"100378586","ita",3,1,0.333,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100378586",NA,NA,NA,0,"100378586"
"21",1996,NA,NA,"100379632","esp",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100379632",NA,NA,NA,0,"100379632"
"22",1996,2006,2006,"100385401","nor",5,4,0.8,1996,2006,NA,NA,NA,NA,NA,NA,NA,NA,"100385401",NA,NA,NA,0,"100385401"
"23",1996,NA,NA,"100391403","nor",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100391403",NA,NA,NA,0,"100391403"
"24",1996,NA,NA,"100395413","nor",5,4,0.8,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100395413",NA,NA,NA,0,"100395413"
"25",1996,NA,NA,"100397956","bel",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100397956",NA,NA,NA,0,"100397956"
"26",1996,NA,NA,"100413520","ita",3,3,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100413520",NA,NA,NA,0,"100413520"
"27",1996,NA,NA,"100414470","nor",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100414470",NA,NA,NA,0,"100414470"
"28",1996,NA,NA,"100416252","ita",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100416252",NA,NA,NA,0,"100416252"
"29",1996,NA,NA,"100431488","esp",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100431488",NA,NA,NA,0,"100431488"
"30",1996,NA,NA,"100432579","ita",5,1,0.2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100432579",NA,NA,NA,0,"100432579"
"31",1996,NA,NA,"100437270","che",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100437270",NA,NA,NA,0,"100437270"
