"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2","pub_n"
"1",1996,NA,NA,"100343830","bra",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100343830",NA,NA,NA,0,"100343830",NA
"2",1996,NA,NA,"100362182","bra",6,1,0.167,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100362182",NA,NA,NA,0,"100362182",NA
"3",1996,NA,NA,"100368252","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100368252",NA,NA,NA,0,"100368252",NA
"4",1996,2007,2007,"100372383","bra",16,4,0.25,1996,2007,NA,NA,NA,NA,NA,NA,NA,NA,"100372383",NA,NA,NA,0,"100372383",NA
"5",1996,NA,NA,"100775312","bra",4,2,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100775312",NA,NA,NA,0,"100775312",NA
"6",1996,2011,2011,"100789842","bra",4,0,0,1996,2011,NA,NA,NA,NA,NA,NA,NA,NA,"100789842",NA,NA,NA,0,"100789842",NA
"7",1996,NA,NA,"100790499","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100790499",NA,NA,NA,0,"100790499",NA
"8",1996,NA,NA,"100821516","bra",5,1,0.2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100821516",NA,NA,NA,0,"100821516",NA
"9",1996,NA,NA,"100858809","bra",5,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100858809",NA,NA,NA,0,"100858809",NA
"10",1996,NA,NA,"100916645","bra",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100916645",NA,NA,NA,0,"100916645",NA
"11",1996,NA,NA,"100955677","bra",6,2,0.333,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100955677",NA,NA,NA,0,"100955677",NA
"12",1996,NA,NA,"101057234","chl",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101057234",NA,NA,NA,0,"101057234",NA
"13",1996,NA,NA,"101194353","bra",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101194353",NA,NA,NA,0,"101194353",NA
"14",1996,NA,NA,"101250021","col",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101250021",NA,NA,NA,0,"101250021",NA
"15",1996,NA,NA,"101664765","chl",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101664765",NA,NA,NA,0,"101664765",NA
"16",1996,2015,2015,"101807204","bra",6,1,0.167,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"101807204",NA,NA,NA,0,"101807204",NA
"17",1996,NA,NA,"101861789","arg",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101861789",NA,NA,NA,0,"101861789",NA
"18",1996,2008,2008,"102033529","ury",4,4,1,1996,2008,NA,NA,NA,NA,NA,NA,NA,NA,"102033529",NA,NA,NA,0,"102033529",NA
"19",1996,NA,NA,"105232151","bra",2,2,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105232151",NA,NA,NA,0,"105232151",NA
"20",1996,NA,NA,"105233032","bra",4,2,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105233032",NA,NA,NA,0,"105233032",NA
"21",1996,2012,2012,"105293400","bra",14,5,0.357,1996,2012,NA,NA,NA,NA,NA,NA,NA,NA,"105293400",NA,NA,NA,0,"105293400",NA
"22",1996,NA,NA,"105814925","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105814925",NA,NA,NA,0,"105814925",NA
"23",1996,2015,2015,"105891680","bra",13,4,0.308,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"105891680",NA,NA,NA,0,"105891680",NA
"24",1996,2013,2013,"105907156","chl",1,1,1,1996,2013,NA,NA,NA,NA,NA,NA,NA,NA,"105907156",NA,NA,NA,0,"105907156",NA
"25",1996,NA,NA,"105933055","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105933055",NA,NA,NA,0,"105933055",NA
"26",1996,NA,NA,"106003911","bra",2,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106003911",NA,NA,NA,0,"106003911",NA
