per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1996,2007,2007,60000000,usa,7,0,0,1996,2007,usa,1,1,1,1996,60000000,NA,0,NA,NA,NA,60000000
1996,1997,1997,60000460,usa,53,21,0.396,1996,1997,usa,1,2,1,1996,60000460,NA,0,NA,NA,NA,60000460
1996,2016,2016,60000871,usa,4,0,0,1996,2016,usa,1,3,1,1996,60000871,NA,0,NA,NA,NA,60000871
1996,1997,1997,60001117,usa,221,94,0.425,1996,1997,usa,1,3,2,1996,60001117,NA,0,NA,NA,NA,60001117
1996,1997,1997,60001344,usa,5,2,0.4,1996,1997,usa,1,1,1,1996,60001344,NA,0,NA,NA,NA,60001344
1996,1997,1997,60001439,usa,51,26,0.51,1996,1997,usa,1,2,2,1996,60001439,NA,0,NA,NA,NA,60001439
1996,1998,1998,60002388,usa,143,58,0.406,1996,1998,usa,7,9,3,1996,60002388,NA,0,NA,NA,NA,60002388
1996,1998,1998,60002494,can,122,81,0.664,1996,1998,can,1,4,2,1996,60002494,NA,0,NA,NA,NA,60002494
1996,1996,1996,60002746,usa,1058,458,0.433,1996,1996,usa,2,10,4,1996,60002746,NA,1,NA,NA,NA,60002746
1996,1998,1998,60003122,can,31,19,0.613,1996,1998,can,1,2,2,1996,60003122,NA,0,NA,NA,NA,60003122
1996,2002,2002,60003828,usa,24,13,0.542,1996,2002,usa,1,4,3,1996,60003828,NA,0,NA,NA,NA,60003828
1996,1998,1998,60003915,usa,216,61,0.282,1996,1998,usa,2,5,3,1996,60003915,NA,0,NA,NA,NA,60003915
1996,1997,1997,60003999,usa,9,4,0.444,1996,1997,usa,1,1,1,1996,60003999,NA,0,NA,NA,NA,60003999
1996,1999,1999,60004923,usa,123,26,0.211,1996,1999,usa,2,2,1,1996,60004923,NA,0,NA,NA,NA,60004923
1996,1997,1997,60005248,usa,196,66,0.337,1996,1997,usa,1,1,1,1996,60005248,NA,0,NA,NA,NA,60005248
1996,2000,2000,60005455,usa,201,92,0.458,1996,2000,usa,3,6,2,1996,60005455,NA,0,NA,NA,NA,60005455
1996,1996,1996,60006297,usa,385,137,0.356,1996,1996,usa,25,19,4,1996,60006297,NA,1,NA,NA,NA,60006297
1996,1997,1997,60006404,usa,35,16,0.457,1996,1997,usa,1,1,1,1996,60006404,NA,0,NA,NA,NA,60006404
1996,1998,1998,60006475,usa,140,42,0.3,1996,1998,usa,1,1,1,1996,60006475,NA,0,NA,NA,NA,60006475
1996,2000,2000,60008599,usa,11,1,0.091,1996,2000,usa,1,1,1,1996,60008599,NA,0,NA,NA,NA,60008599
1996,1996,1996,60009982,usa,297,110,0.37,1996,1996,usa,25,20,3,1996,60009982,NA,1,NA,NA,NA,60009982
1996,1996,1996,60012317,usa,345,103,0.299,1996,1996,usa,28,23,6,1996,60012317,NA,1,NA,NA,NA,60012317
1996,1998,1998,60013340,usa,12,1,0.083,1996,1998,usa,2,2,1,1996,60013340,NA,0,NA,NA,NA,60013340
1996,1997,1997,60013402,usa,230,41,0.178,1996,1997,usa,1,1,1,1996,60013402,NA,0,NA,NA,NA,60013402
1996,1998,1998,60013409,usa,151,60,0.397,1996,1998,usa,1,3,1,1996,60013409,NA,0,NA,NA,NA,60013409
1996,1997,1997,60014054,can,20,16,0.8,1996,1997,can,2,5,1,1996,60014054,NA,0,NA,NA,NA,60014054
1996,2001,2001,60014171,can,37,11,0.297,1996,2001,can,1,1,1,1996,60014171,NA,0,NA,NA,NA,60014171
1996,1997,1997,60014439,usa,127,47,0.37,1996,1997,usa,1,2,2,1996,60014439,NA,0,NA,NA,NA,60014439
1996,2000,2000,60014754,usa,77,39,0.506,1996,2000,usa,1,2,2,1996,60014754,NA,0,NA,NA,NA,60014754
1996,1997,1997,60015186,can,74,34,0.459,1996,1997,can,2,2,2,1996,60015186,NA,0,NA,NA,NA,60015186
1996,1997,1997,60015481,usa,487,137,0.281,1996,1997,usa,5,4,2,1996,60015481,NA,0,NA,NA,NA,60015481
1996,2005,2005,60016261,usa,20,10,0.5,1996,2005,usa,1,3,1,1996,60016261,NA,0,NA,NA,NA,60016261
1996,1997,1997,60016619,usa,1,0,0,1996,1997,usa,1,3,2,1996,60016619,NA,0,NA,NA,NA,60016619
1996,1998,1998,60016782,usa,343,163,0.475,1996,1998,usa,1,4,1,1996,60016782,NA,0,NA,NA,NA,60016782
1996,1997,1997,60016849,can,365,188,0.515,1996,1997,can,1,2,2,1996,60016849,NA,0,NA,NA,NA,60016849
1996,1997,1997,60017777,usa,243,97,0.399,1996,1997,usa,2,4,1,1996,60017777,NA,0,NA,NA,NA,60017777
1996,2002,2002,60018179,usa,22,5,0.227,1996,2002,usa,3,4,2,1996,60018179,NA,0,NA,NA,NA,60018179
1996,2002,2002,60018208,usa,35,7,0.2,1996,2002,usa,1,3,1,1996,60018208,NA,0,NA,NA,NA,60018208
1996,2011,2011,60018471,can,8,3,0.375,1996,2011,can,1,3,1,1996,60018471,NA,0,NA,NA,NA,60018471
1996,2000,2000,60018926,usa,22,6,0.273,1996,2000,usa,1,1,1,1996,60018926,NA,0,NA,NA,NA,60018926
1996,1997,1997,60019674,usa,61,20,0.328,1996,1997,usa,1,1,1,1996,60019674,NA,0,NA,NA,NA,60019674
1996,1997,1997,60020547,usa,155,34,0.219,1996,1997,usa,1,1,1,1996,60020547,NA,0,NA,NA,NA,60020547
1996,1997,1997,60021519,usa,102,52,0.51,1996,1997,usa,1,1,1,1996,60021519,NA,0,NA,NA,NA,60021519
1996,2001,2001,60021784,usa,83,29,0.349,1996,2001,usa,1,5,3,1996,60021784,NA,0,NA,NA,NA,60021784
1996,1997,1997,60021918,usa,87,30,0.345,1996,1997,usa,4,4,2,1996,60021918,NA,0,NA,NA,NA,60021918
1996,1997,1997,60022195,usa,291,134,0.46,1996,1997,usa,7,11,2,1996,60022195,NA,0,NA,NA,NA,60022195
1996,2007,2007,60022590,usa,34,9,0.265,1996,2007,usa,1,1,1,1996,60022590,NA,0,NA,NA,NA,60022590
1996,1997,1997,60022756,usa,240,69,0.288,1996,1997,usa,1,1,1,1996,60022756,NA,0,NA,NA,NA,60022756
1996,1996,1996,60023691,usa,531,207,0.39,1996,1996,usa,6,5,3,1996,60023691,NA,1,NA,NA,NA,60023691
1996,1996,1996,60025488,usa,345,90,0.261,1996,1996,usa,2,4,1,1996,60025488,NA,1,NA,NA,NA,60025488
1996,1997,1997,60025643,usa,4,1,0.25,1996,1997,usa,1,3,2,1996,60025643,NA,0,NA,NA,NA,60025643
1996,1997,1997,60025778,usa,330,106,0.321,1996,1997,usa,4,4,1,1996,60025778,NA,0,NA,NA,NA,60025778
1996,1997,1997,60026415,usa,119,25,0.21,1996,1997,usa,1,2,2,1996,60026415,NA,0,NA,NA,NA,60026415
