,adopted,,,,,,,,,  cover
4,0.029,when,factor(per),is,1996 or 1997 or 1998 or 1999 or 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007 or 2008 or 2009 or 2010 or 2011,&,lagged_int_expo,< ,0.16,87%
3,0.248,when,factor(per),is,2012 or 2013 or 2014 or 2015 or 2016,,,,,12%
5,0.356,when,factor(per),is,1996 or 1997 or 1998 or 1999 or 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007 or 2008 or 2009 or 2010 or 2011,&,lagged_int_expo,>=,0.16,1%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,adopted,rule,  cover,,,,,,,
,0.029,when year is (1996 ~ 2011) & < lagged_int_exp < 0.16 ,87%,,,,,,,
,0.248,when year is (2012 ~ 2013),12%,,,,,,,
,0.356,when year is (1996 ~ 2011) & < lagged_int_exp >= 0.16 ,1%,,,,,,,
