,adopted,,,,,,,,,  cover
4,0.038,when,lagged_nat_expo,< ,0.11,&,factor(per),is,1996 or 1997 or 1998 or 1999 or 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007 or 2008 or 2009 or 2010,84%
5,0.184,when,lagged_nat_expo,< ,0.11,&,factor(per),is,2011 or 2012 or 2013 or 2014 or 2015 or 2016,11%
3,0.363,when,lagged_nat_expo,>=,0.11,,,,,5%
,,,,,,,,,,
,,,,,,,,,,
,prob.,rule,cover,,,,,,,
,0.038,when lagged_nat_expo < 0.11 & year is (1996 ~ 2010),84%,,,,,,,
,0.184,when lagged_nat_expo < 0.11 & year is (2011 ~ 2016),11%,,,,,,,
,0.363,when lagged_nat_expo >= 0.11,5%,,,,,,,
