afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60000020,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,gbr,yes
60000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,3,2,gbr,yes
60000112,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,10,1,0,0,0,5,14,gbr,yes
60000179,0,6,4,7,5,7,9,1,8,7,10,15,28,6,13,6,0,7,5,8,7,16,fra,yes
60000236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60000245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60000256,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,11,deu,yes
60000291,0,0,0,0,0,0,0,0,0,2,0,0,7,9,8,2,0,32,7,12,25,16,deu,yes
60000368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,2,0,gbr,yes
60000401,0,0,0,0,0,0,0,3,2,0,5,4,18,14,11,16,13,21,17,25,24,31,deu,yes
60000445,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,yes
60000456,0,0,0,0,0,4,4,7,17,14,10,15,20,9,17,16,34,12,41,20,26,39,deu,yes
60000485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,fra,yes
60000661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,9,gbr,yes
60000679,0,0,0,0,0,0,0,5,0,0,0,2,8,3,3,0,3,3,5,2,13,2,deu,yes
60000694,2,0,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,0,0,0,0,fra,yes
60000703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,gbr,yes
60000726,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,4,deu,yes
60000762,0,0,0,1,1,0,3,3,11,2,11,0,7,0,1,3,4,10,2,10,14,8,deu,yes
60000765,0,0,0,0,0,0,6,0,0,3,0,2,8,2,8,5,0,8,10,4,28,24,deu,yes
