afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,tur,yes
60000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,svk,yes
60000087,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,19,0,20,6,isr,yes
60000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60000113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,12,10,fin,yes
60000130,0,0,0,1,0,0,2,0,0,0,1,1,1,8,3,6,6,8,18,7,12,6,esp,yes
60000145,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,1,16,5,11,0,12,bel,yes
60000197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60000239,0,0,0,0,1,0,0,3,1,0,3,0,7,0,4,4,10,19,16,22,26,35,che,yes
60000294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60000307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fin,no
60000457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,svn,yes
60000481,2,3,1,6,4,5,4,7,4,6,5,6,2,4,27,17,33,27,25,10,46,32,ita,yes
60000666,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,0,swe,yes
60000718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,irl,yes
60000818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nor,no
60000823,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,esp,yes
60000852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,aut,yes
60000874,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,5,14,0,7,4,3,bel,yes
60000950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,4,0,7,esp,yes
60000961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,5,3,11,hrv,yes
60000964,0,0,0,4,2,4,1,2,0,4,9,8,2,1,20,12,19,29,2,3,20,10,bel,yes
60000989,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,che,yes
60000990,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,2,1,1,swe,yes
60001104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,grc,yes
60001138,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,ita,yes
60001171,0,0,1,1,3,0,1,1,1,3,4,5,0,0,0,3,0,0,0,2,0,5,esp,yes
60001296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,2,0,0,0,hun,yes
60001360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,swe,no
60001463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60001478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,rou,yes
60001524,0,0,0,0,0,0,0,0,14,1,0,1,1,0,1,4,3,1,0,0,5,5,grc,yes
60001576,0,0,0,2,0,0,0,1,0,0,3,1,1,2,14,7,21,20,37,26,4,38,esp,yes
60001602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,3,2,23,esp,yes
60001741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,esp,yes
60001910,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,isr,yes
60001950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,swe,no
