afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60000036,0,0,2,0,0,0,0,0,0,2,0,0,0,1,9,1,0,2,1,2,2,2,bra,yes
60000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg,no
60000509,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,15,3,4,7,0,13,15,bra,yes
60000590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60000658,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,arg,yes
60000958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60001282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,chl,yes
60001563,0,0,0,0,0,0,0,0,0,2,0,7,0,2,7,0,7,2,16,6,14,11,arg,yes
60001701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60001865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
60001890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,2,5,13,3,2,bra,yes
60002218,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,2,0,arg,yes
60002281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex,no
60002636,0,0,0,0,0,0,0,0,3,3,3,2,0,9,5,4,1,5,6,7,20,9,chl,yes
60002864,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,arg,yes
60002946,1,0,0,0,0,0,5,4,6,3,0,4,0,2,0,3,6,5,0,1,18,4,chl,yes
60003079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,bra,yes
60003634,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,2,6,0,6,11,chl,yes
60004234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra,no
