afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60000000,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,8,usa,yes
60000009,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,usa,yes
60000060,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,5,0,0,7,1,usa,yes
60000076,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,6,0,0,0,8,0,usa,yes
60000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can,no
60000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,usa,yes
60000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,usa,yes
60000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60000209,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,13,3,2,1,7,0,usa,yes
60000221,0,0,0,0,0,0,0,3,3,0,5,6,0,7,8,3,4,2,12,6,2,3,usa,yes
60000238,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,2,0,0,0,0,usa,yes
60000247,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,usa,yes
60000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60000251,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,can,yes
60000305,0,0,0,3,1,0,0,3,0,22,6,21,5,10,21,17,8,14,7,6,5,4,usa,yes
60000423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,usa,yes
60000460,2,0,4,4,1,1,3,2,0,5,7,6,3,1,0,11,19,16,9,2,1,2,usa,yes
60000461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,usa,yes
60000521,0,0,0,0,0,4,0,0,0,1,5,0,9,3,5,1,0,0,5,1,8,3,can,yes
60000540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can,no
60000584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60000673,0,0,0,0,0,4,2,0,0,2,5,1,2,4,5,2,0,3,3,0,0,0,can,yes
60000689,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,5,5,0,usa,yes
60000705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,usa,yes
60000711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60000745,0,0,0,0,0,0,0,0,2,4,4,0,0,3,0,4,3,10,3,3,5,9,usa,yes
60000801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60000871,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,usa,yes
60000879,0,0,1,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,usa,yes
60000885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0,0,usa,yes
60000928,0,0,0,4,7,0,1,12,4,14,19,4,7,18,22,4,23,3,3,8,8,20,usa,yes
60000945,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0,0,5,2,1,4,usa,yes
60000948,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,usa,yes
60000986,0,0,0,0,0,0,1,3,6,7,4,7,3,7,23,36,38,23,10,19,52,18,usa,yes
60001001,0,0,0,0,0,0,0,0,1,5,2,0,7,16,15,19,40,29,57,47,56,54,usa,yes
60001115,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,4,2,3,0,0,usa,yes
60001117,3,2,3,5,0,0,0,3,22,22,1,15,17,1,23,32,22,32,30,42,29,23,usa,yes
60001142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60001149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60001224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,usa,yes
60001303,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,usa,yes
60001343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can,no
60001344,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,usa,yes
60001361,0,0,0,0,0,0,0,4,3,1,9,7,3,6,7,9,5,23,6,15,18,12,usa,yes
60001362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,usa,yes
60001413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,usa,yes
60001423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60001426,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,usa,yes
60001439,2,5,0,0,3,0,0,0,8,14,1,0,6,3,0,14,2,6,2,3,0,0,usa,yes
60001440,0,0,1,0,0,3,5,1,3,3,8,0,4,4,2,0,0,0,0,0,0,0,usa,yes
60001456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,1,2,usa,yes
60001462,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,0,4,4,usa,yes
60001525,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,2,0,1,0,15,0,usa,yes
60001526,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,11,13,6,15,11,3,usa,yes
60001527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,usa,yes
60001536,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,usa,yes
60001551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60001555,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,usa,yes
60001562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,usa,yes
60001609,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,4,3,0,0,1,0,4,usa,yes
60001635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60001647,0,0,0,0,2,0,1,0,0,0,3,4,7,4,6,21,0,3,17,10,4,16,usa,yes
60001673,0,2,0,0,5,0,0,0,0,0,0,0,0,3,6,0,3,0,10,0,0,8,usa,yes
60001681,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,usa,yes
60001745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60001769,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,2,usa,yes
60001777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60001844,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,usa,yes
60001931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,usa,yes
60001966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60001989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60002023,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,usa,yes
60002053,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,usa,yes
60002058,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,2,usa,yes
60002092,0,0,0,0,2,0,0,6,3,4,4,1,2,8,1,2,0,1,4,5,1,0,usa,yes
60002146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can,no
60002149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can,no
60002162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60002173,0,1,3,6,10,8,6,13,4,0,4,1,1,0,7,2,0,0,2,0,0,0,can,yes
60002194,0,0,0,3,0,0,0,0,0,0,0,0,1,1,5,0,0,0,6,4,7,16,usa,yes
60002214,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,6,5,3,3,3,2,usa,yes
60002227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,usa,yes
60002228,0,0,0,0,0,0,0,5,2,2,3,0,0,4,0,0,0,0,0,0,0,0,usa,yes
60002243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,usa,yes
60002262,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,usa,yes
60002288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60002306,0,0,0,0,1,1,0,0,11,0,0,5,0,14,4,3,3,6,19,14,15,15,can,yes
60002333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60002337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,usa,yes
60002339,0,0,0,0,0,0,0,0,0,0,4,0,16,1,10,5,12,12,1,0,6,3,usa,yes
60002388,9,0,0,6,5,5,0,16,4,0,6,1,10,12,14,2,1,14,9,13,16,19,usa,yes
60002396,0,0,0,1,0,0,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,usa,yes
60002441,0,0,3,0,19,2,7,3,4,16,21,13,14,0,11,16,45,23,24,68,59,38,usa,yes
60002462,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,yes
60002476,0,0,0,0,0,0,0,0,0,0,3,0,3,2,2,4,4,8,7,1,1,22,usa,yes
60002490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60002494,4,0,5,0,6,3,1,6,18,1,4,16,13,4,23,16,8,10,14,36,34,17,can,yes
60002507,0,0,0,0,0,3,5,0,9,0,0,4,6,4,4,0,6,0,6,0,2,0,usa,yes
60002526,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,0,3,1,0,0,usa,yes
60002545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60002557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,usa,yes
60002600,0,0,0,0,2,4,2,1,0,0,5,4,4,4,4,0,3,0,0,0,0,0,usa,yes
60002645,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,0,usa,yes
60002707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60002717,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,5,7,7,0,2,0,usa,yes
60002746,10,10,6,10,19,13,16,26,35,39,26,53,57,49,59,62,91,101,140,138,100,128,usa,yes
60002778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60002804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,usa,yes
60002825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can,no
60002860,0,0,4,0,0,0,0,7,0,0,0,3,0,3,0,0,0,0,0,3,0,6,usa,yes
60002873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,usa,yes
60002878,0,0,0,0,0,2,0,0,2,0,2,5,3,4,8,0,3,0,0,8,11,0,can,yes
60002896,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,usa,yes
60002968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60003088,0,0,0,0,0,0,0,1,0,1,0,4,1,0,1,0,3,0,5,0,11,10,usa,yes
60003103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,usa,yes
60003122,2,0,1,0,0,0,0,6,3,5,0,0,11,4,0,0,2,0,2,0,7,7,can,yes
60003158,0,0,0,0,2,0,0,0,4,2,0,0,0,3,17,0,0,0,0,0,0,3,usa,yes
60003160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,usa,yes
60003171,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,6,1,0,0,0,0,0,usa,yes
60003212,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,13,0,3,4,0,0,0,usa,yes
60003214,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,usa,yes
60003238,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,3,2,0,5,0,usa,yes
60003261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,usa,yes
60003262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60003269,0,6,6,10,4,6,2,7,4,2,2,2,16,2,19,23,27,21,13,4,13,12,usa,yes
60003309,0,0,0,0,0,3,4,0,3,4,2,1,0,0,0,0,0,2,0,0,0,0,usa,yes
60003337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60003372,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,usa,yes
60003409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa,no
60003443,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,1,0,3,6,0,0,usa,yes
60003467,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,2,usa,yes
60003471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,can,yes
60003500,0,0,2,0,3,1,0,1,2,22,17,3,9,14,3,8,18,12,17,9,20,18,usa,yes
60003512,0,0,0,0,0,0,0,0,2,0,6,1,0,0,3,0,0,0,0,0,0,0,usa,yes
