afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000000,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,usa
60000005,NA,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,jpn
60000009,NA,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,usa
60000020,NA,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,gbr
60000021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,tur
60000028,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,svk
60000036,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,2,bra
60000058,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,twn
60000060,NA,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,4,0,0,5,usa
60000064,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,gbr
60000065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60000076,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,6,0,0,0,8,usa
60000078,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ind
60000081,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,rus
60000087,NA,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,13,0,15,isr
60000100,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000112,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,9,1,0,0,0,5,gbr
60000113,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,12,fin
60000115,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60000130,NA,0,0,0,1,0,0,2,0,0,0,0,1,1,6,3,4,5,7,13,5,11,esp
60000137,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ind
60000142,NA,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,6,7,4,kor
60000144,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,usa
60000145,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,12,4,9,0,bel
60000149,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000164,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000174,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,chn
60000179,NA,0,1,2,3,4,7,9,1,8,6,9,14,25,5,10,6,0,6,5,8,5,fra
60000184,NA,0,0,0,0,0,0,0,4,8,2,7,2,4,4,14,1,14,9,11,11,0,jpn
60000196,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,chn
60000197,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000204,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000209,NA,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,12,3,2,1,6,usa
60000221,NA,0,0,0,0,0,0,0,3,3,0,4,4,0,7,7,3,4,2,11,4,2,usa
60000236,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60000238,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,0,0,0,usa
60000239,NA,0,0,0,0,0,0,0,2,1,0,3,0,2,0,3,3,10,15,15,20,22,che
60000245,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60000247,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,usa
60000248,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000251,NA,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,can
60000256,NA,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,deu
60000263,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg
60000264,NA,0,0,6,8,10,2,3,1,14,16,11,14,13,13,21,8,31,8,17,10,5,jpn
60000291,NA,0,0,0,0,0,0,0,0,0,1,0,0,6,9,7,2,0,28,6,12,18,deu
60000294,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000305,NA,0,0,0,0,1,0,0,2,0,20,6,19,5,8,18,15,7,12,5,6,5,usa
60000307,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fin
60000308,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rus
60000316,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,tha
60000338,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,chn
60000356,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,zaf
60000368,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,1,gbr
60000401,NA,0,0,0,0,0,0,0,2,2,0,4,3,11,10,10,14,10,20,16,21,21,deu
60000402,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,jpn
60000414,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,ind
60000423,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,usa
60000436,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60000445,NA,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,fra
60000456,NA,0,0,0,0,0,4,3,7,13,13,9,13,16,9,14,15,32,10,38,19,22,deu
60000457,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,svn
60000460,NA,1,0,3,2,1,1,1,2,0,4,6,5,3,1,0,11,18,15,8,2,1,usa
60000461,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000473,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,usa
60000481,NA,0,2,1,4,4,4,1,4,2,5,5,5,1,4,23,14,27,23,20,9,35,ita
60000485,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,fra
60000501,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ind
60000509,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,3,3,5,0,6,bra
60000521,NA,0,0,0,0,0,2,0,0,0,0,4,0,7,3,3,1,0,0,3,1,8,can
60000540,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60000584,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000590,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60000617,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,egy
60000627,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,irn
60000653,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ind
60000656,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,2,2,14,0,kor
60000658,NA,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,arg
60000661,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,gbr
60000666,NA,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,swe
60000673,NA,0,0,0,0,0,1,2,0,0,1,4,1,2,2,3,2,0,2,2,0,0,can
60000679,NA,0,0,0,0,0,0,0,4,0,0,0,2,7,2,2,0,3,2,5,2,12,deu
