afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,6,usa
60000005,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,jpn
60000009,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,usa
60000020,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,gbr
60000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,tur
60000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,svk
60000036,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,2,2,bra
60000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,twn
60000060,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,4,0,0,5,1,usa
60000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,2,gbr
60000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60000076,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,6,0,0,0,8,0,usa
60000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ind
60000081,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,rus
60000087,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,13,0,15,5,isr
60000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000112,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,9,1,0,0,0,5,12,gbr
60000113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,12,8,fin
60000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60000130,0,0,0,1,0,0,2,0,0,0,0,1,1,6,3,4,5,7,13,5,11,6,esp
60000137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ind
60000142,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,6,7,4,6,kor
60000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,usa
60000145,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,12,4,9,0,11,bel
60000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,usa
60000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,1,chn
60000179,0,1,2,3,4,7,9,1,8,6,9,14,25,5,10,6,0,6,5,8,5,16,fra
60000184,0,0,0,0,0,0,0,4,8,2,7,2,4,4,14,1,14,9,11,11,0,6,jpn
60000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,chn
60000197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000209,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,12,3,2,1,6,0,usa
60000221,0,0,0,0,0,0,0,3,3,0,4,4,0,7,7,3,4,2,11,4,2,3,usa
60000236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60000238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,0,0,0,0,usa
60000239,0,0,0,0,0,0,0,2,1,0,3,0,2,0,3,3,10,15,15,20,22,29,che
60000245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60000247,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,usa
60000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000251,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,can
60000256,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,8,deu
60000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg
60000264,0,0,6,8,10,2,3,1,14,16,11,14,13,13,21,8,31,8,17,10,5,26,jpn
60000291,0,0,0,0,0,0,0,0,0,1,0,0,6,9,7,2,0,28,6,12,18,14,deu
60000294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000305,0,0,0,0,1,0,0,2,0,20,6,19,5,8,18,15,7,12,5,6,5,3,usa
60000307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fin
60000308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rus
60000316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,2,tha
60000338,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,chn
60000356,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,zaf
60000368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,1,0,gbr
60000401,0,0,0,0,0,0,0,2,2,0,4,3,11,10,10,14,10,20,16,21,21,26,deu
60000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,2,jpn
60000414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,ind
60000423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,usa
60000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60000445,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60000456,0,0,0,0,0,4,3,7,13,13,9,13,16,9,14,15,32,10,38,19,22,32,deu
60000457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,svn
60000460,1,0,3,2,1,1,1,2,0,4,6,5,3,1,0,11,18,15,8,2,1,2,usa
60000461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,usa
60000481,0,2,1,4,4,4,1,4,2,5,5,5,1,4,23,14,27,23,20,9,35,29,ita
60000485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,fra
60000501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ind
60000509,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,3,3,5,0,6,9,bra
60000521,0,0,0,0,0,2,0,0,0,0,4,0,7,3,3,1,0,0,3,1,8,2,can
60000540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60000584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60000617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,egy
60000627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,irn
60000653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ind
60000656,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,2,2,14,0,5,kor
60000658,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,arg
60000661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,9,gbr
60000666,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,0,swe
60000673,0,0,0,0,0,1,2,0,0,1,4,1,2,2,3,2,0,2,2,0,0,0,can
60000679,0,0,0,0,0,0,0,4,0,0,0,2,7,2,2,0,3,2,5,2,12,2,deu
60000689,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,5,4,0,usa
60000690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ind
60000694,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,fra
