afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000000,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,usa
60000009,NA,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,usa
60000060,NA,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,4,0,0,5,usa
60000076,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,6,0,0,0,8,usa
60000115,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60000144,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,usa
60000149,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000164,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000204,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000209,NA,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,12,3,2,1,6,usa
60000221,NA,0,0,0,0,0,0,0,3,3,0,4,4,0,7,7,3,4,2,11,4,2,usa
60000238,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,0,0,0,usa
60000247,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,usa
60000248,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000251,NA,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,can
60000305,NA,0,0,0,0,1,0,0,2,0,20,6,19,5,8,18,15,7,12,5,6,5,usa
60000423,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,usa
60000460,NA,1,0,3,2,1,1,1,2,0,4,6,5,3,1,0,11,18,15,8,2,1,usa
60000461,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000473,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,usa
60000521,NA,0,0,0,0,0,2,0,0,0,0,4,0,7,3,3,1,0,0,3,1,8,can
60000540,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60000584,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000673,NA,0,0,0,0,0,1,2,0,0,1,4,1,2,2,3,2,0,2,2,0,0,can
60000689,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,5,4,usa
60000705,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
