afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000000,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,6,usa
60000009,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,usa
60000060,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,4,0,0,5,1,usa
60000076,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,6,0,0,0,8,0,usa
60000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,usa
60000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,usa
60000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000209,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,12,3,2,1,6,0,usa
60000221,0,0,0,0,0,0,0,3,3,0,4,4,0,7,7,3,4,2,11,4,2,3,usa
60000238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,0,0,0,0,usa
60000247,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,usa
60000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000251,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,can
60000305,0,0,0,0,1,0,0,2,0,20,6,19,5,8,18,15,7,12,5,6,5,3,usa
60000423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,usa
60000460,1,0,3,2,1,1,1,2,0,4,6,5,3,1,0,11,18,15,8,2,1,2,usa
60000461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,usa
60000521,0,0,0,0,0,2,0,0,0,0,4,0,7,3,3,1,0,0,3,1,8,2,can
60000540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can
60000584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000673,0,0,0,0,0,1,2,0,0,1,4,1,2,2,3,2,0,2,2,0,0,0,can
60000689,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,5,4,0,usa
60000705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,usa
60000711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000745,0,0,0,0,0,0,0,0,2,2,3,0,0,3,0,3,3,8,3,3,5,9,usa
60000801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,usa
60000871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,usa
60000879,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,usa
60000885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0,0,usa
