afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000036,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,2,bra
60000263,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg
60000509,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,3,3,5,0,6,bra
60000590,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60000658,NA,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,arg
60000958,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60001282,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,chl
60001563,NA,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,6,2,15,6,12,arg
60001701,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60001865,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60001890,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,1,0,10,2,bra
60002218,NA,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,1,arg
60002281,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex
60002636,NA,0,0,0,0,0,0,0,0,1,3,2,1,0,9,5,4,1,3,4,5,14,chl
60002864,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,arg
60002946,NA,0,0,0,0,0,0,5,3,6,3,0,3,0,2,0,1,5,4,0,1,12,chl
60003079,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,bra
60003634,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,6,0,4,chl
60004234,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60004518,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,4,6,8,arg
60005499,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,bra
60005554,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60005618,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,mex
60005847,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex
60005881,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chl
60006028,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,4,5,2,7,bra
