afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000036,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,2,2,bra
60000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arg
60000509,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,3,3,5,0,6,9,bra
60000590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60000658,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,arg
60000958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60001282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,chl
60001563,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,6,2,15,6,12,11,arg
60001701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60001865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60001890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,1,0,10,2,1,bra
60002218,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,1,0,arg
60002281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex
60002636,0,0,0,0,0,0,0,0,1,3,2,1,0,9,5,4,1,3,4,5,14,6,chl
60002864,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,arg
60002946,0,0,0,0,0,0,5,3,6,3,0,3,0,2,0,1,5,4,0,1,12,3,chl
60003079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,bra
60003634,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,6,0,4,9,chl
60004234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60004518,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,4,6,8,14,arg
60005499,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,bra
60005554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bra
60005618,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,mex
60005847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mex
60005881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chl
60006028,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,4,5,2,7,13,bra
