afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000020,NA,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,gbr
60000064,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,gbr
60000112,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,9,1,0,0,0,5,gbr
60000179,NA,0,1,2,3,4,7,9,1,8,6,9,14,25,5,10,6,0,6,5,8,5,fra
60000236,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60000245,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60000256,NA,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,deu
60000291,NA,0,0,0,0,0,0,0,0,0,1,0,0,6,9,7,2,0,28,6,12,18,deu
60000368,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,1,gbr
60000401,NA,0,0,0,0,0,0,0,2,2,0,4,3,11,10,10,14,10,20,16,21,21,deu
60000445,NA,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,fra
60000456,NA,0,0,0,0,0,4,3,7,13,13,9,13,16,9,14,15,32,10,38,19,22,deu
60000485,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,fra
60000661,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,gbr
60000679,NA,0,0,0,0,0,0,0,4,0,0,0,2,7,2,2,0,3,2,5,2,12,deu
60000694,NA,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,fra
60000703,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,gbr
60000726,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,deu
60000762,NA,0,0,0,1,1,0,2,3,9,2,9,0,4,0,1,3,3,9,2,10,13,deu
60000765,NA,0,0,0,0,0,0,5,0,0,2,0,1,6,2,7,4,0,6,7,4,20,deu
60000891,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60000905,NA,0,3,1,3,5,14,12,10,9,5,9,21,10,27,46,33,35,66,82,96,81,fra
60001060,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60001091,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,6,4,0,8,5,fra
60001097,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,0,8,deu
60001157,NA,0,0,0,0,0,0,0,0,1,0,3,4,17,16,17,29,28,18,10,2,13,nld
60001301,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,4,0,0,0,fra
