afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000020,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,gbr
60000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,2,gbr
60000112,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,9,1,0,0,0,5,12,gbr
60000179,0,1,2,3,4,7,9,1,8,6,9,14,25,5,10,6,0,6,5,8,5,16,fra
60000236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu
60000245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60000256,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,8,deu
60000291,0,0,0,0,0,0,0,0,0,1,0,0,6,9,7,2,0,28,6,12,18,14,deu
60000368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,1,0,gbr
60000401,0,0,0,0,0,0,0,2,2,0,4,3,11,10,10,14,10,20,16,21,21,26,deu
60000445,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60000456,0,0,0,0,0,4,3,7,13,13,9,13,16,9,14,15,32,10,38,19,22,32,deu
60000485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,fra
60000661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,9,gbr
60000679,0,0,0,0,0,0,0,4,0,0,0,2,7,2,2,0,3,2,5,2,12,2,deu
60000694,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,fra
60000703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,gbr
60000726,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,deu
60000762,0,0,0,1,1,0,2,3,9,2,9,0,4,0,1,3,3,9,2,10,13,8,deu
60000765,0,0,0,0,0,0,5,0,0,2,0,1,6,2,7,4,0,6,7,4,20,18,deu
60000891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60000905,0,3,1,3,5,14,12,10,9,5,9,21,10,27,46,33,35,66,82,96,81,61,fra
60001060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60001091,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,6,4,0,8,5,12,fra
60001097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,0,8,0,deu
60001157,0,0,0,0,0,0,0,0,1,0,3,4,17,16,17,29,28,18,10,2,13,9,nld
60001301,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,4,0,0,0,0,fra
60001359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60001404,0,0,0,0,0,1,1,0,2,0,6,1,0,0,0,0,0,0,0,0,0,1,fra
60001422,0,2,0,0,5,7,0,5,16,7,19,19,5,9,15,21,31,54,19,27,18,25,fra
60001490,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,3,2,11,4,21,16,10,gbr
60001542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60001601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60001633,0,0,0,0,0,0,0,7,0,1,1,4,4,2,10,11,12,4,17,10,24,8,gbr
60001772,1,1,0,1,3,6,2,0,13,3,5,13,5,7,5,12,6,23,17,11,24,14,fra
60001780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60001861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60001881,0,2,6,6,1,3,1,3,19,8,6,21,25,14,18,36,18,46,50,39,46,66,gbr
60001972,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,13,18,4,8,8,deu
60001997,0,0,0,0,0,0,0,1,1,3,1,0,10,15,1,3,13,18,11,4,25,4,nld
60002083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,deu
60002158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60002174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60002220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nld
60002284,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,gbr
60002483,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,nld
60002571,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,deu
60002573,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,26,39,15,35,28,45,nld
60002776,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,4,0,0,nld
60002794,0,0,0,0,0,0,0,0,0,0,5,11,10,7,0,6,8,1,0,0,0,0,nld
60002803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60002869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,0,gbr
60002900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,12,0,fra
60002967,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,gbr
60003274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,fra
60003275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nld
60003280,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,5,4,13,0,35,24,6,deu
60003362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,fra
60003615,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,5,deu
60003748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra
60003771,0,0,0,0,0,0,0,0,1,1,5,9,0,5,18,17,7,15,21,23,49,53,gbr
60003878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nld
60003955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,14,0,0,0,0,gbr
60004078,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,nld
60004120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr
60004156,0,1,0,0,1,0,5,0,1,1,6,3,15,6,4,15,19,23,28,12,13,6,nld
60004219,0,0,3,1,0,0,0,1,0,5,0,1,0,1,5,1,12,2,8,14,1,12,gbr
