afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,tur
60000028,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,svk
60000087,NA,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,13,0,15,isr
60000100,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000113,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,12,fin
60000130,NA,0,0,0,1,0,0,2,0,0,0,0,1,1,6,3,4,5,7,13,5,11,esp
60000145,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,12,4,9,0,bel
60000197,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000239,NA,0,0,0,0,0,0,0,2,1,0,3,0,2,0,3,3,10,15,15,20,22,che
60000294,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60000307,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fin
60000457,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,svn
60000481,NA,0,2,1,4,4,4,1,4,2,5,5,5,1,4,23,14,27,23,20,9,35,ita
60000666,NA,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,swe
60000718,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,irl
60000818,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nor
60000823,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,esp
60000852,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,aut
60000874,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,4,7,0,6,4,bel
60000950,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,4,0,esp
60000961,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,3,3,hrv
60000964,NA,0,0,0,3,2,4,1,2,0,3,7,4,2,1,17,9,16,20,1,2,17,bel
60000989,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,che
60000990,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,2,1,swe
60001104,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,grc
60001138,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,ita
60001171,NA,0,0,0,1,1,0,1,0,1,1,3,3,0,0,0,1,0,0,0,2,0,esp
60001296,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,1,0,0,hun
60001360,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,swe
60001463,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
60001478,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,rou
60001524,NA,0,0,0,0,0,0,0,0,8,0,0,1,1,0,1,3,3,1,0,0,3,grc
60001576,NA,0,0,0,1,0,0,0,1,0,0,3,0,1,1,11,7,15,18,34,21,4,esp
60001602,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,3,0,esp
60001741,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,esp
60001910,NA,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,isr
60001950,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,swe
60001987,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,svk
60002014,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7,8,swe
60002016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,12,0,esp
60002144,NA,0,0,0,0,0,2,0,0,0,4,3,4,0,2,2,5,5,0,3,4,8,prt
60002200,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
60002467,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60002612,NA,0,0,0,0,0,0,0,0,1,0,3,4,5,4,2,4,5,8,0,5,10,che
60002644,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,esp
60002676,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60002695,NA,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,che
60002765,NA,0,0,0,0,0,0,0,0,3,2,3,0,0,0,3,0,8,3,1,3,9,isr
60002769,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,prt
60002823,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rou
60002838,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,5,4,0,0,12,13,ita
60002952,NA,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,8,7,26,37,38,18,fin
60002963,NA,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,1,0,0,0,0,aut
60002983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp
60003003,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,11,ita
60003044,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,esp
60003138,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,esp
60003156,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,aut
60003185,NA,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,1,12,0,9,0,4,grc
60003217,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,tur
60003230,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,grc
60003237,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,1,14,4,0,3,fin
60003247,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prt
60003349,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita
