afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000005,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,jpn
60000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,twn
60000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60000142,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,6,7,4,6,kor
60000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,1,chn
60000184,0,0,0,0,0,0,0,4,8,2,7,2,4,4,14,1,14,9,11,11,0,6,jpn
60000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,chn
60000264,0,0,6,8,10,2,3,1,14,16,11,14,13,13,21,8,31,8,17,10,5,26,jpn
60000338,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,chn
60000402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,2,jpn
60000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60000656,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,2,2,14,0,5,kor
60000752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60000763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kor
60000819,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,3,0,4,0,0,0,aus
60000872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,8,6,0,kor
60000937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,7,chn
60001011,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,jpn
60001018,0,0,0,0,0,0,0,0,0,0,1,0,1,3,9,2,3,6,2,4,7,6,kor
60001099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60001170,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,0,1,1,2,6,kor
60001187,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,kor
60001255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60001271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,jpn
60001298,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,chn
60001305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60001377,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,6,chn
60001498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60001529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60001580,0,0,0,0,0,0,0,1,2,1,2,1,3,5,5,8,5,3,3,7,2,8,jpn
60001604,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,1,0,8,1,3,3,8,chn
60001857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,3,3,kor
60001873,0,0,0,0,0,0,0,0,0,0,0,2,1,5,6,0,2,1,1,4,15,16,kor
