afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country
60000005,NA,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,jpn
60000058,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,twn
60000065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chn
60000142,NA,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,6,7,4,kor
60000174,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,chn
60000184,NA,0,0,0,0,0,0,0,4,8,2,7,2,4,4,14,1,14,9,11,11,0,jpn
60000196,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,chn
60000264,NA,0,0,6,8,10,2,3,1,14,16,11,14,13,13,21,8,31,8,17,10,5,jpn
60000338,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,chn
60000402,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,jpn
60000436,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60000656,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,2,2,14,0,kor
60000752,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
60000763,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kor
60000819,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,3,0,4,0,0,aus
60000872,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,8,6,kor
60000937,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,chn
60001011,NA,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,jpn
60001018,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,3,9,2,3,6,2,4,7,kor
60001099,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jpn
